       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
 Customer#001914733 |   1914733 |   56497062 | 1998-04-28  |    507231.74 | 320.00
 Customer#000075481 |     75481 |  157800416 | 1998-02-24  |    505525.25 | 315.00
 Customer#003923207 |   3923207 |  157759876 | 1997-07-22  |    505491.12 | 315.00
 Customer#000919262 |    919262 |   37531878 | 1997-03-20  |    505488.70 | 315.00
 Customer#001538743 |   1538743 |   12809282 | 1994-05-21  |    504745.25 | 314.00
 Customer#000481225 |    481225 |  115963910 | 1992-01-22  |    503139.78 | 314.00
 Customer#003283669 |   3283669 |  188854305 | 1995-10-09  |    502992.45 | 323.00
 Customer#003926020 |   3926020 |   65178529 | 1997-03-31  |    502565.79 | 322.00
 Customer#003195152 |   3195152 |   51532000 | 1992-10-27  |    502169.88 | 319.00
 Customer#002731933 |   2731933 |   15071267 | 1994-10-22  |    501973.85 | 317.00
 Customer#003525610 |   3525610 |   46794464 | 1992-04-28  |    501962.15 | 320.00
 Customer#001479148 |   1479148 |  189357922 | 1992-07-27  |    500942.59 | 320.00
 Customer#003291700 |   3291700 |  102563013 | 1994-11-09  |    500890.49 | 317.00
 Customer#000366760 |    366760 |   59930883 | 1997-05-17  |    500618.99 | 319.00
 Customer#004291195 |   4291195 |   71683587 | 1997-04-14  |    500520.45 | 315.00
 Customer#003324271 |   3324271 |   61867907 | 1995-06-19  |    500364.41 | 314.00
 Customer#002028955 |   2028955 |   36327201 | 1992-04-25  |    499658.20 | 315.00
 Customer#000609181 |    609181 |  182387719 | 1995-05-11  |    499525.79 | 322.00
 Customer#000581194 |    581194 |   17457767 | 1993-06-05  |    499405.82 | 316.00
 Customer#001621276 |   1621276 |   65003587 | 1992-02-15  |    499116.99 | 318.00
 Customer#003016720 |   3016720 |   48881602 | 1993-09-19  |    498645.78 | 327.00
 Customer#002653169 |   2653169 |   85266340 | 1998-05-31  |    498621.00 | 318.00
 Customer#002472277 |   2472277 |   94731687 | 1995-11-02  |    498393.54 | 318.00
 Customer#003738418 |   3738418 |   41277440 | 1997-02-19  |    497736.96 | 314.00
 Customer#004733287 |   4733287 |  113872867 | 1996-11-18  |    497426.98 | 321.00
 Customer#003926719 |   3926719 |   35542498 | 1993-10-12  |    496602.10 | 325.00
 Customer#001113080 |   1113080 |   53623108 | 1995-05-07  |    496289.61 | 316.00
 Customer#004103878 |   4103878 |   60553281 | 1995-03-26  |    496210.26 | 315.00
 Customer#000013345 |     13345 |  164479205 | 1992-01-02  |    496202.18 | 316.00
 Customer#003942424 |   3942424 |   90905219 | 1995-03-30  |    495834.09 | 314.00
 Customer#002495605 |   2495605 |   67693986 | 1995-03-08  |    495458.04 | 321.00
 Customer#002646550 |   2646550 |   82389922 | 1997-12-05  |    494378.92 | 326.00
 Customer#000028306 |     28306 |   39702437 | 1995-11-23  |    493286.56 | 321.00
 Customer#002001385 |   2001385 |   91987296 | 1992-05-19  |    493223.30 | 324.00
 Customer#004072561 |   4072561 |   92511430 | 1995-03-06  |    492979.98 | 318.00
 Customer#003801403 |   3801403 |   34937604 | 1995-01-26  |    492710.55 | 315.00
 Customer#001092163 |   1092163 |  156311557 | 1994-05-08  |    492381.34 | 316.00
 Customer#002155495 |   2155495 |  154788836 | 1992-03-19  |    491787.74 | 322.00
 Customer#003140659 |   3140659 |   20971013 | 1997-08-12  |    491533.89 | 322.00
 Customer#003021412 |   3021412 |  191360129 | 1995-08-26  |    491425.00 | 314.00
 Customer#000114224 |    114224 |  177010630 | 1996-06-05  |    491232.65 | 322.00
(100 rows)

