 ps_partkey |    value    
      20115 | 10938798.67
     293245 | 10934041.75
     370979 | 10928691.45
     604715 | 10907419.32
     173821 | 10905365.48
      80261 | 10903969.72
     465697 | 10896423.76
     521723 | 10895056.63
     747105 | 10888080.00
     324923 | 10878365.12
     482678 | 10877567.52
     421092 | 10873498.20
     624439 | 10873049.85
     229018 | 10872974.88
     198129 | 10867863.61
     219822 | 10866521.76
     106159 | 10864478.45
     182540 | 10864415.03
     721160 | 10864374.38
     511849 | 10862428.79
     146387 | 10861245.54
     673789 | 10853731.04
       7531 | 10839827.32
     321829 | 10830191.96
     405828 | 10829719.24
      60483 | 10824614.46
     490151 | 10822383.76
     525822 | 10816974.60
     682281 | 10797832.92
     289346 | 10791810.85
     150155 | 10780529.59
     463189 | 10778489.23
     551442 | 10774090.10
     432252 | 10767963.60
     241300 | 10763989.96
     439343 | 10754037.10
      52141 | 10750195.08
     105327 | 10745136.98
     198857 | 10742418.58
      29726 | 10737883.91
     200499 | 10735798.11
     282545 | 10734517.36
     316962 | 10731264.99
     466514 | 10726973.55
      93028 | 10722430.25
      56497 | 10715911.02
     241158 | 10704578.39
     559254 | 10698798.68
     251090 | 10696797.42
     715358 | 10694125.44
     665271 | 10690458.89
     718216 | 10672781.16
     611196 | 10650552.56
     242423 | 10648547.08
     230088 | 10643371.12
     312838 | 10640948.34
     220388 | 10635815.00
     690348 | 10635160.68
     415359 | 10627850.93
     665436 | 10626661.25
      88133 | 10625300.66
     621994 | 10623543.56
     201518 | 10614864.00
     386008 | 10613771.16
     244488 | 10612544.21
     544598 | 10609588.96
     765584 | 10603371.76
     209024 | 10601570.95
     179324 | 10595899.69
     312859 | 10595659.22
     449008 | 10592687.64
     211989 | 10588653.45
       6119 | 10582920.62
     364488 | 10582519.23
     542888 | 10566827.36
     501270 | 10564851.82
     283503 | 10560440.88
     290803 | 10553412.16
     457620 | 10547582.32
     744098 | 10546685.69
     227615 | 10541224.29
      90263 | 10539100.59
     344252 | 10538786.08
     346436 | 10528136.90
     260405 | 10513930.84
     107875 | 10501327.38
     640658 | 10496886.59
     663773 | 10495259.76
     223823 | 10493969.23
     582628 | 10481633.08
     489137 | 10472160.64
     772214 | 10468229.60
     739016 | 10460373.95
     661304 | 10460038.95
     119409 | 10445476.51
     670174 | 10444987.16
     468488 | 10438491.36
     338122 | 10429256.42
     417480 | 10428665.83
     188165 | 10425907.28
     691685 | 10425757.38
     194662 | 10413486.06
     305164 | 10407092.90
     688330 | 10405984.58
     610623 | 10398726.53
     200601 | 10393327.86
     250629 | 10389031.28
     797620 | 10386535.73
     622983 | 10380521.22
     220648 | 10379263.85
     698650 | 10376279.74
     424737 | 10359563.94
     625273 | 10352652.20
     753056 | 10351143.83
     385559 | 10349732.25
     799544 | 10349371.54
     232544 | 10345229.68
     670656 | 10341849.04
     140794 | 10339983.19
     379870 | 10339863.18
     304255 | 10338549.48
     490449 | 10317804.53
     227208 | 10312690.73
     351673 | 10310114.74
       7817 | 10296159.51
     469827 | 10294395.26
     461488 | 10292555.77
     141721 | 10288632.86
     648133 | 10287024.09
     188096 | 10281662.58
     150088 | 10278915.53
      84757 | 10278183.10
      67599 | 10267110.49
     107596 | 10266331.37
      17601 | 10265018.94
     148966 | 10263938.91
     793524 | 10261212.86
      15151 | 10259615.25
     501160 | 10255774.18
     276525 | 10252470.72
     664439 | 10242727.08
     635873 | 10241200.89
     375908 | 10240780.26
     465353 | 10237647.00
     121381 | 10236038.37
     352882 | 10234893.73
     546069 | 10234146.24
      90429 | 10232214.80
     584800 | 10231869.38
     209904 | 10226320.41
     218371 | 10223105.19
     161052 | 10222254.83
     231505 | 10220967.95
     579294 | 10218010.95
     331864 | 10215950.82
     272350 | 10213464.06
     215981 | 10212914.43
     691353 | 10211581.20
     439206 | 10206231.71
     233443 | 10201994.53
     453899 | 10189738.71
      38233 | 10183344.02
     679879 | 10165370.02
     468955 | 10162960.49
     100907 | 10161284.76
       2670 | 10155324.06
     244870 | 10154078.90
     789435 | 10143853.58
      79686 | 10143572.14
     507203 | 10141236.56
     660492 | 10139693.28
     321498 | 10133685.06
     376797 | 10132918.59
     616207 | 10128912.24
       9861 | 10118552.02
     511329 | 10118522.00
     577472 | 10116097.78
     320534 | 10099530.72
     106008 | 10077236.40
     546190 | 10069687.56
     245836 | 10058255.77
     578521 | 10057840.51
     180370 | 10054083.58
     615386 | 10049942.83
     399131 | 10047142.20
     211654 | 10042575.44
     463344 | 10042309.92
     496680 | 10038795.80
      36883 | 10034756.20
     532756 | 10033461.78
     689781 | 10033087.59
     140915 | 10032679.71
     682334 | 10030331.07
     309342 | 10026014.73
     107506 | 10021241.89
     572971 | 10019832.28
     196376 | 10018586.92
     219112 | 10018549.86
      83026 | 10008891.55
     545924 | 10006641.46
     168753 |  9999981.20
      90792 |  9999953.28
     125243 |  9988959.06
      15990 |  9988902.43
     420868 |  9987287.28
     706658 |  9986377.30
     764108 |  9986048.38
     270666 |  9984231.68
     368074 |  9979156.68
     228964 |  9976278.92
     233640 |  9973244.46
     413978 |  9968146.98
     330089 |  9964601.98
     181623 |  9959815.53
     457224 |  9959019.19
     487053 |  9954549.50
      51844 |  9952867.11
     299202 |  9946549.80
      41092 |  9941984.39
     438385 |  9937609.83
     486237 |  9936734.54
      83833 |  9935338.86
     581887 |  9934537.78
     645243 |  9933566.89
     794974 |  9933142.36
     179069 |  9928286.30
     596780 |  9926468.74
     108328 |  9919447.56
     691864 |  9911575.84
     727601 |  9909421.38
      23599 |  9906118.50
     524659 |  9902082.75
     471495 |  9901306.94
     440609 |  9901238.58
     670382 |  9899605.90
     444352 |  9887864.72
     660041 |  9885563.11
     216380 |  9882831.94
      51886 |  9880558.80
     532615 |  9878655.15
      69066 |  9876676.38
      65501 |  9872684.72
     315619 |  9866057.70
     554101 |  9863833.00
     791905 |  9862403.94
     278391 |  9861228.72
     689052 |  9855981.56
     769061 |  9845895.37
     741356 |  9845231.44
     486063 |  9843130.98
       8092 |  9841067.40
     346789 |  9832237.92
     166194 |  9832112.99
     429834 |  9828973.02
     475030 |  9826156.10
     715352 |  9824596.24
     696465 |  9824440.37
     213260 |  9824367.05
     770763 |  9824046.00
     243644 |  9823852.96
     393010 |  9823679.25
      50482 |  9821264.45
     641714 |  9820588.99
      93609 |  9819420.39
     107553 |  9819081.90
     667775 |  9814731.72
     566418 |  9809625.80
     221639 |  9808930.94
     138366 |  9808559.64
     205314 |  9807928.18
     148165 |  9807415.35
     294738 |  9807319.60
     609843 |  9804998.29
     333650 |  9804916.83
     771420 |  9802188.00
     464032 |  9801525.38
     156098 |  9798838.90
     515620 |  9794759.30
     706757 |  9794759.25
     716235 |  9787788.05
     179030 |  9787755.31
     215651 |  9787160.02
     179488 |  9786023.83
     147649 |  9782672.40
      37445 |  9781868.64
     444012 |  9780893.28
      22552 |  9779050.60
     230923 |  9778664.34
     110220 |  9777762.02
      86617 |  9776010.60
     231665 |  9775823.94
     336187 |  9771542.08
      92315 |  9770196.49
     698744 |  9768593.07
     101887 |  9765848.56
     522539 |  9761944.14
     486908 |  9760635.56
     645582 |  9758127.84
     465213 |  9757063.76
     246610 |  9756982.85
      27451 |  9756358.50
     611555 |  9753491.94
      30459 |  9750916.27
     687289 |  9745634.40
     399967 |  9744476.50
     551040 |  9731699.71
     298614 |  9731428.48
     351199 |  9731104.36
     146371 |  9727659.50
     204051 |  9726936.15
     622873 |  9725164.12
     169834 |  9722696.60
     374758 |  9722446.80
     654063 |  9720573.72
     727975 |  9719105.69
      52542 |  9718106.52
     600708 |  9716553.08
     175473 |  9714407.14
      23582 |  9714309.21
      21719 |  9712822.80
     108326 |  9711427.07
     508963 |  9710109.50
     361250 |  9708013.32
     752795 |  9705579.24
     376864 |  9704195.28
     653597 |  9700826.90
     408946 |  9695251.80
     317069 |  9693050.35
     398878 |  9692321.49
     345657 |  9691736.70
     218132 |  9686488.29
      50674 |  9686023.48
     739325 |  9685300.02
     118133 |  9683536.70
     165469 |  9683164.26
     130991 |  9680686.83
     680810 |  9677987.75
     642268 |  9675527.26
     536920 |  9674323.23
     755220 |  9673723.44
      20495 |  9672566.31
     278238 |  9672507.00
     374527 |  9670406.99
     108385 |  9666747.25
     132605 |  9665789.70
     404629 |  9663766.35
     664246 |  9660067.17
     428995 |  9659585.74
      13453 |  9658347.39
     267093 |  9655680.40
     296515 |  9654000.66
     741299 |  9651181.48
     177797 |  9650115.00
      84248 |  9648911.36
     246504 |  9647485.37
     568749 |  9647065.48
     237095 |  9646994.56
     730423 |  9646164.57
     115315 |  9644320.56
     603089 |  9644001.90
      11280 |  9642570.72
     196871 |  9641092.32
     500906 |  9637586.20
      55916 |  9637471.80
     654072 |  9635769.78
     291204 |  9634788.90
     289814 |  9634439.16
     777892 |  9630507.12
     256113 |  9630218.24
     379542 |  9630115.40
     769000 |  9630061.68
     276472 |  9629947.97
     165642 |  9629358.08
     406377 |  9626131.55
      18233 |  9625828.30
     691899 |  9624761.00
     474854 |  9623259.87
     546597 |  9623091.60
      90542 |  9622130.23
     284073 |  9621650.00
      64252 |  9618535.14
     749236 |  9617360.24
     617427 |  9614308.20
     567369 |  9613294.60
     639208 |  9609484.94
     779341 |  9606236.25
     716883 |  9605362.24
     394189 |  9601180.03
      81510 |  9599126.79
     297887 |  9596600.30
     299874 |  9596344.14
     316098 |  9595082.70
      84792 |  9593873.67
     623252 |  9593342.78
     471647 |  9592673.47
     412783 |  9592137.03
     217423 |  9590947.98
     272855 |  9590945.00
     164162 |  9588401.71
     567062 |  9586298.22
     409403 |  9586083.26
      33265 |  9583965.26
     191522 |  9582620.83
     576869 |  9582489.30
     655750 |  9580267.86
     799707 |  9578688.50
     745235 |  9578181.54
     611290 |  9578103.49
     295312 |  9574806.50
     204488 |  9573364.43
     101170 |  9571381.52
     777031 |  9571262.12
     482482 |  9570178.24
     506498 |  9570063.19
     190374 |  9568603.53
     689346 |  9568122.41
     345235 |  9567359.35
     137132 |  9564573.62
     567060 |  9563027.40
     185657 |  9562481.40
     505694 |  9562340.50
     284302 |  9561068.52
     314119 |  9559572.96
     668911 |  9558420.30
     620643 |  9557917.95
     213433 |  9557798.60
     609814 |  9557630.95
     631185 |  9556340.64
     188495 |  9555639.64
     606914 |  9555359.44
     302531 |  9553274.34
     297290 |  9552210.92
      48353 |  9550769.78
     150140 |  9547606.20
     509927 |  9547440.40
     149720 |  9547019.44
      23948 |  9546071.45
      20426 |  9545062.34
     615190 |  9543944.10
     268954 |  9543703.76
     270603 |  9543500.75
     706359 |  9542262.77
     179924 |  9539516.00
     301587 |  9539242.44
     216082 |  9538381.10
     684301 |  9538094.78
     797186 |  9536356.88
     383253 |  9535682.00
     757368 |  9534858.26
     306554 |  9534321.52
      12683 |  9534161.34
     190017 |  9533636.00
     599732 |  9533261.87
      39435 |  9530949.75
     702505 |  9530644.55
     271431 |  9530523.45
     485314 |  9530395.20
      24175 |  9524856.88
     295627 |  9524681.31
     371424 |  9524315.52
     440349 |  9523622.81
     717650 |  9522635.20
     158864 |  9522514.98
     290405 |  9522270.50
     477104 |  9521943.24
     199169 |  9521013.98
     113045 |  9519412.31
     766766 |  9516507.72
     513793 |  9515851.26
     249407 |  9514343.76
     367036 |  9511924.24
      16383 |  9511722.57
      52974 |  9511668.18
      82255 |  9511444.40
      59947 |  9511060.60
     260915 |  9510506.60
     488881 |  9509416.82
      32473 |  9509340.42
     687714 |  9507188.25
     432857 |  9506817.84
     660685 |  9504713.46
      91060 |  9503304.55
     593443 |  9503210.22
     313636 |  9502712.94
     354948 |  9498878.25
     165330 |  9494843.80
     392921 |  9494568.82
     700529 |  9494503.19
     794392 |  9493414.28
     397513 |  9492901.17
     724792 |  9492176.25
     341234 |  9491364.06
     183512 |  9490978.64
     126264 |  9489710.66
     282795 |  9488071.90
     481052 |  9487854.63
     141463 |  9484069.62
     454075 |  9483866.26
     447213 |  9483205.34
     319832 |  9482972.82
     199939 |  9482233.00
     649765 |  9481354.74
     458191 |  9481090.44
     175231 |  9480567.24
      81643 |  9480415.90
     674643 |  9478823.63
     668466 |  9477325.41
     620853 |  9477268.80
      89163 |  9477261.78
     118050 |  9476684.56
     680463 |  9476213.44
     335572 |  9475752.05
     224877 |  9474598.14
     530151 |  9473379.25
     623265 |  9472629.36
     550130 |  9472163.69
     667553 |  9471344.33
     730674 |  9469050.78
     294565 |  9468973.67
     580161 |  9468391.54
     359013 |  9467799.28
     401745 |  9467194.60
     199544 |  9466737.80
     139269 |  9462647.04
      48065 |  9462422.60
      73069 |  9460150.25
     410602 |  9459823.74
      46803 |  9459081.30
     486255 |  9456842.95
      76623 |  9455849.99
     522112 |  9454499.53
      49439 |  9453052.53
     289681 |  9452212.80
     316237 |  9451374.24
     692898 |  9450418.75
     534807 |  9450128.52
     478321 |  9449085.24
     422411 |  9448668.32
     105924 |  9447861.70
     798651 |  9447450.88
     161455 |  9446631.30
     574651 |  9445986.52
     364235 |  9444577.03
     214756 |  9444384.00
     400586 |  9443816.25
      73122 |  9442383.66
     576336 |  9441689.60
     614072 |  9440548.08
     781027 |  9439578.60
     456790 |  9439563.55
     713565 |  9438630.69
     317803 |  9438342.15
     131630 |  9437479.97
      13518 |  9436757.28
     238665 |  9436626.30
     354991 |  9436155.74
     426204 |  9434726.25
     687879 |  9433333.34
     218866 |  9432841.27
     350140 |  9430468.06
     109927 |  9429434.74
     266826 |  9428915.52
     174167 |  9428622.96
      70198 |  9428310.88
     325519 |  9427333.27
     293644 |  9426489.05
     255978 |  9426432.06
     437046 |  9426205.80
     340754 |  9425466.00
     407239 |  9424605.40
     239544 |  9424234.80
     503022 |  9423859.34
       9052 |  9423178.05
     340361 |  9418272.00
     129410 |  9418234.62
     749524 |  9417392.26
     168332 |  9416386.06
     584309 |  9415276.80
     629873 |  9414732.41
     110926 |  9413133.41
     240142 |  9412179.81
     265063 |  9411072.93
     161174 |  9410608.92
      12913 |  9409136.70
     741781 |  9408116.40
     279254 |  9407509.56
     261070 |  9404725.46
     485412 |  9404545.60
     254441 |  9403167.95
     558613 |  9402579.63
     787601 |  9402431.80
     177404 |  9400317.84
     343789 |  9399718.00
     721252 |  9397464.50
     246209 |  9397282.60
     786761 |  9394924.79
     745918 |  9392974.74
     416908 |  9392671.60
     703269 |  9392488.70
     735555 |  9389019.00
     250148 |  9388612.81
     721556 |  9388411.65
     676290 |  9388328.37
     701113 |  9387206.64
     221370 |  9387206.43
     511006 |  9386915.29
     142681 |  9386400.13
     561396 |  9386150.69
      29434 |  9385525.60
     565533 |  9385205.62
     538638 |  9381573.00
     719544 |  9381553.58
     713164 |  9381449.70
     132168 |  9380827.24
      70776 |  9380653.57
     320899 |  9379825.31
     395652 |  9376680.18
     698336 |  9376433.64
     129267 |  9375930.17
     669934 |  9372922.44
     334732 |  9372626.85
     449477 |  9371099.72
     415612 |  9368429.00
     511426 |  9367842.36
     374545 |  9366943.80
     100265 |  9364620.88
     210268 |  9363294.00
     440492 |  9363179.00
     357604 |  9361436.00
     716119 |  9360889.20
       6240 |  9360353.60
     366799 |  9359996.53
         73 |  9359505.27
     190061 |  9358948.98
     651498 |  9358319.34
     151664 |  9356732.31
     713712 |  9356497.78
     780890 |  9356001.93
     615981 |  9355653.06
      40010 |  9354923.56
     211634 |  9354568.77
     557749 |  9354079.92
      40502 |  9353114.40
     680702 |  9352911.75
     486166 |  9350390.50
     202529 |  9349756.27
     459609 |  9348930.95
     685648 |  9348796.42
     563208 |  9348318.36
     238005 |  9346998.76
     736254 |  9344696.46
     394216 |  9343541.61
     593871 |  9342902.58
     657601 |  9341875.04
      29629 |  9340442.92
     706052 |  9340135.20
     269415 |  9337816.80
     402925 |  9337522.20
     144027 |  9337153.56
      30316 |  9335342.96
     546292 |  9334785.24
     651873 |  9332303.31
     510758 |  9331544.18
     246692 |  9331242.03
     668001 |  9330342.84
     461410 |  9329970.00
     431591 |  9329844.80
     363462 |  9328575.79
     799572 |  9326478.42
     104260 |  9324697.29
     722409 |  9324678.88
     696762 |  9323923.44
      14560 |  9322051.75
     420439 |  9320278.54
     660852 |  9319488.60
     555438 |  9314254.38
     261241 |  9312619.58
     230664 |  9311630.57
     751925 |  9310710.98
     774605 |  9310433.05
     549742 |  9310006.63
     357977 |  9309980.02
     304088 |  9309952.56
     555462 |  9308554.86
     519767 |  9307214.10
     436229 |  9306261.36
     410157 |  9306239.04
     245375 |  9304447.19
     509827 |  9302644.08
     361827 |  9302199.60
     437480 |  9301565.73
     785416 |  9301182.70
     443167 |  9300685.02
      67598 |  9300237.08
     442500 |  9300019.74
      21199 |  9299736.16
     325619 |  9299343.75
     219777 |  9298457.25
       1915 |  9298290.88
     306154 |  9295617.00
     174370 |  9295367.91
     359534 |  9293526.32
     493899 |  9293388.32
     220771 |  9291777.08
     591047 |  9290724.64
     376808 |  9290570.34
     663801 |  9290017.88
     617074 |  9289985.01
     241378 |  9289731.71
     714089 |  9289336.63
     791006 |  9289251.95
     213353 |  9288942.30
     764067 |  9288421.56
     608336 |  9288123.00
      16473 |  9285140.70
     477567 |  9284785.20
     545349 |  9284474.38
     421369 |  9283477.12
     417919 |  9282540.26
     731841 |  9282074.56
      50916 |  9280409.18
     650638 |  9280244.47
      59033 |  9276157.05
     490761 |  9275020.65
     416895 |  9275005.80
     661307 |  9274882.60
     187765 |  9274348.02
     291665 |  9273827.97
     269187 |  9271965.95
     636435 |  9271934.82
     190784 |  9270940.05
     741112 |  9270257.76
     204319 |  9269452.26
     203674 |  9268901.47
     550922 |  9267640.68
     506871 |  9267314.76
     390938 |  9267221.70
      18791 |  9267017.97
     764109 |  9266981.52
     593048 |  9265033.68
     531634 |  9264541.84
     102733 |  9264536.10
     359181 |  9262491.00
     289677 |  9262118.58
     685814 |  9260788.32
     479052 |  9258811.80
     698447 |  9258379.47
     154832 |  9258139.20
      73056 |  9257302.71
     757149 |  9255740.55
     294960 |  9255515.42
      99864 |  9255207.66
     752703 |  9254993.30
     616539 |  9254428.16
     477049 |  9253822.56
     715113 |  9253407.86
        175 |  9253263.36
     373061 |  9252756.93
     615964 |  9251695.92
     314313 |  9249709.92
     161192 |  9248440.80
     396443 |  9247381.20
     416973 |  9247235.17
     313409 |  9247192.29
     724189 |  9246491.80
     475884 |  9246321.07
     314659 |  9245538.36
     795952 |  9243768.03
     386614 |  9242864.00
     671718 |  9242661.28
     128626 |  9242604.15
     347793 |  9241443.77
      11358 |  9241124.05
     331493 |  9240981.60
      77213 |  9240350.40
     676688 |  9240081.96
     527809 |  9239862.28
     325003 |  9237291.25
     720743 |  9235555.52
     752862 |  9234362.25
     765859 |  9234312.72
     326616 |  9233760.20
     519122 |  9233059.50
     646794 |  9232822.54
     235971 |  9232618.30
