       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
 Customer#001009915 |   1009915 |   12378086 | 1995-03-13  |    449807.85 | 320.00
 Customer#002372990 |   2372990 |   92086567 | 1996-06-12  |    449740.33 | 322.00
 Customer#002313857 |   2313857 |    3043270 | 1997-02-12  |    449277.74 | 317.00
 Customer#001524557 |   1524557 |   40944001 | 1993-12-15  |    448212.29 | 319.00
 Customer#001721623 |   1721623 |   58919845 | 1995-07-21  |    447022.07 | 316.00
 Customer#000555838 |    555838 |   84292261 | 1997-10-13  |    443873.50 | 320.00
 Customer#001896959 |   1896959 |   54188961 | 1995-06-17  |    443668.36 | 317.00
 Customer#001919809 |   1919809 |    1544643 | 1997-09-20  |    443097.24 | 320.00
 Customer#002121154 |   2121154 |   91811457 | 1993-03-10  |    441310.58 | 320.00
 Customer#001236139 |   1236139 |   94731687 | 1995-11-02  |    435219.71 | 318.00
 Customer#002160823 |   2160823 |   43245189 | 1994-11-29  |    434279.97 | 320.00
 Customer#000231763 |    231763 |   11599171 | 1998-03-22  |    428089.24 | 316.00
 Customer#001720351 |   1720351 |   44143908 | 1992-02-24  |    426964.57 | 325.00
 Customer#001914106 |   1914106 |   34509573 | 1995-10-15  |    426907.83 | 318.00
 Customer#001935724 |   1935724 |   12314084 | 1994-05-16  |    425707.35 | 325.00
 Customer#000967777 |    967777 |   45897379 | 1994-05-30  |    424286.72 | 318.00
 Customer#001469014 |   1469014 |   60726373 | 1993-07-21  |    423815.01 | 318.00
(100 rows)

