  p_brand   |          p_type           | p_size | supplier_cnt 
 Brand#14   | STANDARD ANODIZED TIN     |     28 |           20
 Brand#14   | STANDARD POLISHED STEEL   |     50 |           20
 Brand#15   | LARGE POLISHED STEEL      |     50 |           20
 Brand#15   | MEDIUM BURNISHED BRASS    |      1 |           20
 Brand#15   | PROMO POLISHED COPPER     |      1 |           20
 Brand#15   | SMALL ANODIZED COPPER     |     45 |           20
 Brand#21   | MEDIUM BRUSHED BRASS      |     17 |           20
 Brand#21   | PROMO POLISHED NICKEL     |     45 |           20
 Brand#22   | LARGE POLISHED NICKEL     |     50 |           20
 Brand#22   | PROMO BRUSHED COPPER      |     39 |           20
 Brand#22   | PROMO POLISHED BRASS      |     45 |           20
 Brand#22   | SMALL BURNISHED STEEL     |     45 |           20
 Brand#23   | MEDIUM ANODIZED STEEL     |     45 |           20
 Brand#23   | MEDIUM BURNISHED COPPER   |     28 |           20
 Brand#23   | STANDARD ANODIZED TIN     |     39 |           20
 Brand#23   | STANDARD POLISHED BRASS   |     17 |           20
 Brand#25   | STANDARD BURNISHED NICKEL |     39 |           20
 Brand#31   | ECONOMY POLISHED TIN      |     50 |           20
 Brand#31   | MEDIUM BURNISHED TIN      |     17 |           20
 Brand#31   | MEDIUM PLATED TIN         |     45 |           20
 Brand#31   | MEDIUM POLISHED BRASS     |     17 |           20
 Brand#31   | SMALL BURNISHED STEEL     |     31 |           20
 Brand#31   | STANDARD BURNISHED BRASS  |     50 |           20
 Brand#32   | LARGE ANODIZED TIN        |     19 |           20
 Brand#32   | MEDIUM BURNISHED COPPER   |     19 |           20
 Brand#32   | SMALL ANODIZED STEEL      |     45 |           20
 Brand#33   | ECONOMY POLISHED COPPER   |     19 |           20
 Brand#33   | PROMO POLISHED BRASS      |     28 |           20
 Brand#33   | SMALL BRUSHED COPPER      |     17 |           20
 Brand#33   | SMALL BURNISHED BRASS     |     39 |           20
 Brand#33   | STANDARD BURNISHED BRASS  |     45 |           20
 Brand#33   | STANDARD PLATED STEEL     |     31 |           20
 Brand#34   | LARGE BRUSHED BRASS       |     19 |           20
 Brand#34   | MEDIUM PLATED STEEL       |     39 |           20
 Brand#34   | PROMO ANODIZED STEEL      |     50 |           20
 Brand#34   | SMALL ANODIZED BRASS      |     28 |           20
 Brand#34   | SMALL ANODIZED BRASS      |     50 |           20
 Brand#34   | STANDARD BURNISHED STEEL  |     28 |           20
 Brand#35   | ECONOMY BURNISHED COPPER  |     17 |           20
 Brand#35   | ECONOMY POLISHED STEEL    |     50 |           20
 Brand#35   | LARGE BURNISHED BRASS     |     50 |           20
 Brand#35   | MEDIUM ANODIZED BRASS     |     45 |           20
 Brand#35   | MEDIUM BRUSHED TIN        |     31 |           20
 Brand#35   | STANDARD BURNISHED NICKEL |     31 |           20
 Brand#41   | LARGE BRUSHED TIN         |     31 |           20
 Brand#41   | LARGE BURNISHED STEEL     |     31 |           20
 Brand#41   | LARGE POLISHED COPPER     |     39 |           20
 Brand#41   | MEDIUM PLATED STEEL       |     19 |           20
 Brand#41   | SMALL BURNISHED TIN       |     17 |           20
 Brand#42   | PROMO ANODIZED STEEL      |     39 |           20
 Brand#42   | PROMO BRUSHED BRASS       |     28 |           20
 Brand#44   | SMALL BURNISHED NICKEL    |     17 |           20
 Brand#44   | STANDARD BURNISHED STEEL  |     17 |           20
 Brand#44   | STANDARD PLATED BRASS     |      1 |           20
 Brand#44   | STANDARD PLATED BRASS     |     28 |           20
 Brand#45   | LARGE BRUSHED NICKEL      |     45 |           20
 Brand#45   | STANDARD ANODIZED STEEL   |      1 |           20
 Brand#51   | ECONOMY BURNISHED BRASS   |     50 |           20
 Brand#51   | ECONOMY POLISHED BRASS    |     39 |           20
 Brand#51   | LARGE BRUSHED NICKEL      |     39 |           20
 Brand#51   | MEDIUM PLATED STEEL       |     31 |           20
 Brand#51   | SMALL BURNISHED NICKEL    |     17 |           20
 Brand#51   | STANDARD BRUSHED NICKEL   |     17 |           20
 Brand#52   | ECONOMY BURNISHED TIN     |     50 |           20
 Brand#52   | LARGE ANODIZED NICKEL     |     45 |           20
 Brand#52   | LARGE PLATED BRASS        |     17 |           20
 Brand#52   | MEDIUM BURNISHED TIN      |     45 |           20
 Brand#52   | STANDARD ANODIZED BRASS   |     45 |           20
 Brand#53   | ECONOMY BURNISHED NICKEL  |      1 |           20
 Brand#53   | LARGE PLATED COPPER       |     39 |           20
 Brand#53   | MEDIUM ANODIZED COPPER    |     39 |           20
 Brand#53   | MEDIUM PLATED BRASS       |     31 |           20
 Brand#53   | PROMO PLATED TIN          |     19 |           20
 Brand#53   | PROMO POLISHED TIN        |     31 |           20
 Brand#53   | STANDARD ANODIZED COPPER  |     28 |           20
 Brand#54   | SMALL BRUSHED BRASS       |     19 |           20
 Brand#54   | SMALL POLISHED NICKEL     |     31 |           20
 Brand#55   | STANDARD ANODIZED BRASS   |     19 |           20
 Brand#55   | STANDARD BURNISHED COPPER |     45 |           20
 Brand#55   | STANDARD PLATED STEEL     |     39 |           20
 Brand#11   | ECONOMY BRUSHED COPPER    |      1 |           16
 Brand#11   | ECONOMY BRUSHED STEEL     |     19 |           16
 Brand#11   | LARGE BRUSHED BRASS       |     17 |           16
 Brand#11   | LARGE BRUSHED TIN         |     45 |           16
 Brand#11   | LARGE POLISHED COPPER     |     17 |           16
 Brand#11   | MEDIUM ANODIZED TIN       |     31 |           16
 Brand#11   | PROMO ANODIZED BRASS      |     19 |           16
 Brand#11   | PROMO ANODIZED STEEL      |     45 |           16
 Brand#11   | PROMO BRUSHED NICKEL      |     50 |           16
 Brand#11   | PROMO PLATED BRASS        |     45 |           16
 Brand#11   | PROMO POLISHED BRASS      |     28 |           16
 Brand#11   | SMALL ANODIZED STEEL      |     17 |           16
 Brand#11   | SMALL ANODIZED TIN        |     45 |           16
 Brand#11   | SMALL BURNISHED COPPER    |     19 |           16
 Brand#11   | SMALL BURNISHED COPPER    |     45 |           16
 Brand#11   | SMALL BURNISHED STEEL     |     28 |           16
 Brand#11   | SMALL POLISHED BRASS      |     50 |           16
 Brand#11   | STANDARD ANODIZED BRASS   |     19 |           16
 Brand#11   | STANDARD BRUSHED STEEL    |     45 |           16
 Brand#12   | ECONOMY ANODIZED STEEL    |     31 |           16
 Brand#12   | ECONOMY BURNISHED COPPER  |     17 |           16
 Brand#12   | ECONOMY BURNISHED COPPER  |     28 |           16
 Brand#12   | ECONOMY POLISHED TIN      |     50 |           16
 Brand#12   | LARGE ANODIZED STEEL      |     39 |           16
 Brand#12   | LARGE PLATED TIN          |     31 |           16
 Brand#12   | MEDIUM BRUSHED BRASS      |      1 |           16
 Brand#12   | MEDIUM BRUSHED COPPER     |     28 |           16
 Brand#12   | MEDIUM BRUSHED TIN        |     31 |           16
 Brand#12   | MEDIUM PLATED COPPER      |     19 |           16
 Brand#12   | PROMO ANODIZED BRASS      |     45 |           16
 Brand#12   | PROMO BURNISHED BRASS     |     31 |           16
 Brand#12   | SMALL BRUSHED STEEL       |     28 |           16
 Brand#12   | SMALL BRUSHED TIN         |     45 |           16
 Brand#12   | SMALL PLATED TIN          |     28 |           16
 Brand#12   | SMALL POLISHED STEEL      |     17 |           16
 Brand#12   | SMALL POLISHED TIN        |      1 |           16
 Brand#12   | STANDARD ANODIZED STEEL   |     28 |           16
 Brand#12   | STANDARD POLISHED STEEL   |     31 |           16
 Brand#13   | ECONOMY ANODIZED STEEL    |     45 |           16
 Brand#13   | ECONOMY BRUSHED TIN       |     31 |           16
 Brand#13   | ECONOMY POLISHED STEEL    |     28 |           16
 Brand#13   | LARGE ANODIZED TIN        |     17 |           16
 Brand#13   | LARGE PLATED NICKEL       |     50 |           16
 Brand#13   | MEDIUM ANODIZED STEEL     |      1 |           16
 Brand#13   | MEDIUM PLATED NICKEL      |     39 |           16
 Brand#13   | MEDIUM POLISHED STEEL     |      1 |           16
 Brand#13   | PROMO BRUSHED BRASS       |     39 |           16
 Brand#13   | SMALL ANODIZED STEEL      |     45 |           16
 Brand#13   | SMALL BRUSHED STEEL       |     50 |           16
 Brand#13   | SMALL BURNISHED COPPER    |      1 |           16
 Brand#13   | SMALL BURNISHED STEEL     |      1 |           16
 Brand#13   | SMALL BURNISHED STEEL     |     19 |           16
 Brand#13   | STANDARD BURNISHED STEEL  |     31 |           16
 Brand#13   | STANDARD BURNISHED TIN    |      1 |           16
 Brand#13   | STANDARD PLATED COPPER    |     50 |           16
 Brand#14   | ECONOMY ANODIZED TIN      |     17 |           16
 Brand#14   | ECONOMY BRUSHED TIN       |     28 |           16
 Brand#14   | ECONOMY BURNISHED COPPER  |      1 |           16
 Brand#14   | ECONOMY POLISHED NICKEL   |     19 |           16
 Brand#14   | LARGE BRUSHED BRASS       |     39 |           16
 Brand#14   | LARGE BRUSHED NICKEL      |     19 |           16
 Brand#14   | LARGE BRUSHED STEEL       |     17 |           16
 Brand#14   | LARGE PLATED STEEL        |     17 |           16
 Brand#14   | MEDIUM ANODIZED NICKEL    |     39 |           16
 Brand#14   | MEDIUM BRUSHED STEEL      |     17 |           16
 Brand#14   | MEDIUM BURNISHED COPPER   |      1 |           16
 Brand#14   | MEDIUM POLISHED BRASS     |     50 |           16
 Brand#14   | MEDIUM POLISHED STEEL     |     50 |           16
 Brand#14   | PROMO ANODIZED TIN        |     39 |           16
 Brand#14   | PROMO PLATED STEEL        |     31 |           16
 Brand#14   | PROMO POLISHED BRASS      |     19 |           16
 Brand#14   | PROMO POLISHED STEEL      |     19 |           16
 Brand#14   | PROMO POLISHED TIN        |     45 |           16
 Brand#14   | SMALL BURNISHED COPPER    |     45 |           16
 Brand#14   | SMALL PLATED NICKEL       |     28 |           16
 Brand#14   | SMALL PLATED NICKEL       |     31 |           16
 Brand#14   | STANDARD BRUSHED TIN      |     19 |           16
 Brand#14   | STANDARD PLATED BRASS     |      1 |           16
 Brand#14   | STANDARD PLATED COPPER    |     45 |           16
 Brand#14   | STANDARD PLATED NICKEL    |     50 |           16
 Brand#15   | ECONOMY BRUSHED NICKEL    |     17 |           16
 Brand#15   | ECONOMY BRUSHED STEEL     |     19 |           16
 Brand#15   | LARGE ANODIZED BRASS      |     39 |           16
 Brand#15   | LARGE ANODIZED COPPER     |      1 |           16
 Brand#15   | LARGE BRUSHED BRASS       |     50 |           16
 Brand#15   | LARGE BRUSHED STEEL       |     17 |           16
 Brand#15   | LARGE POLISHED COPPER     |     28 |           16
 Brand#15   | MEDIUM BRUSHED STEEL      |     39 |           16
 Brand#15   | PROMO ANODIZED NICKEL     |     39 |           16
 Brand#15   | SMALL ANODIZED STEEL      |     39 |           16
 Brand#15   | SMALL BURNISHED NICKEL    |     50 |           16
 Brand#15   | SMALL POLISHED NICKEL     |     17 |           16
 Brand#15   | STANDARD ANODIZED COPPER  |     45 |           16
 Brand#15   | STANDARD ANODIZED COPPER  |     50 |           16
 Brand#15   | STANDARD ANODIZED NICKEL  |     17 |           16
 Brand#15   | STANDARD BRUSHED COPPER   |      1 |           16
 Brand#15   | STANDARD BURNISHED NICKEL |     28 |           16
 Brand#15   | STANDARD PLATED COPPER    |     31 |           16
 Brand#15   | STANDARD PLATED NICKEL    |     50 |           16
 Brand#21   | ECONOMY ANODIZED STEEL    |     45 |           16
 Brand#21   | ECONOMY ANODIZED TIN      |     39 |           16
 Brand#21   | ECONOMY BURNISHED BRASS   |      1 |           16
 Brand#21   | ECONOMY POLISHED STEEL    |     19 |           16
 Brand#21   | LARGE ANODIZED TIN        |     28 |           16
 Brand#21   | LARGE BRUSHED COPPER      |     39 |           16
 Brand#21   | LARGE POLISHED STEEL      |     17 |           16
 Brand#21   | MEDIUM ANODIZED NICKEL    |      1 |           16
 Brand#21   | MEDIUM BRUSHED BRASS      |     50 |           16
 Brand#21   | MEDIUM BRUSHED NICKEL     |     39 |           16
 Brand#21   | MEDIUM BURNISHED TIN      |     17 |           16
 Brand#21   | PROMO BRUSHED BRASS       |     50 |           16
 Brand#21   | SMALL ANODIZED STEEL      |      1 |           16
 Brand#21   | SMALL BURNISHED STEEL     |      1 |           16
 Brand#21   | SMALL PLATED BRASS        |      1 |           16
 Brand#21   | SMALL PLATED COPPER       |     50 |           16
 Brand#21   | SMALL PLATED STEEL        |     45 |           16
 Brand#21   | SMALL PLATED TIN          |     39 |           16
 Brand#21   | SMALL PLATED TIN          |     45 |           16
 Brand#21   | STANDARD ANODIZED NICKEL  |     50 |           16
 Brand#21   | STANDARD BURNISHED TIN    |     17 |           16
 Brand#21   | STANDARD POLISHED TIN     |     31 |           16
 Brand#22   | ECONOMY BRUSHED COPPER    |     28 |           16
 Brand#22   | ECONOMY BURNISHED BRASS   |     28 |           16
 Brand#22   | ECONOMY BURNISHED STEEL   |      1 |           16
 Brand#22   | ECONOMY BURNISHED TIN     |     39 |           16
 Brand#22   | LARGE ANODIZED NICKEL     |     31 |           16
 Brand#22   | LARGE ANODIZED STEEL      |      1 |           16
 Brand#22   | LARGE BRUSHED COPPER      |     19 |           16
 Brand#22   | LARGE POLISHED COPPER     |     19 |           16
 Brand#22   | MEDIUM ANODIZED STEEL     |     50 |           16
 Brand#22   | MEDIUM BRUSHED TIN        |      1 |           16
 Brand#22   | MEDIUM BURNISHED STEEL    |     39 |           16
 Brand#22   | MEDIUM PLATED BRASS       |     28 |           16
 Brand#22   | MEDIUM POLISHED TIN       |     39 |           16
 Brand#22   | PROMO ANODIZED TIN        |     45 |           16
 Brand#22   | SMALL ANODIZED COPPER     |     28 |           16
 Brand#22   | SMALL BRUSHED NICKEL      |     45 |           16
 Brand#22   | SMALL BURNISHED STEEL     |      1 |           16
 Brand#22   | STANDARD ANODIZED TIN     |     28 |           16
 Brand#22   | STANDARD BURNISHED BRASS  |     45 |           16
 Brand#22   | STANDARD BURNISHED STEEL  |      1 |           16
 Brand#23   | ECONOMY ANODIZED STEEL    |      1 |           16
 Brand#23   | ECONOMY BRUSHED STEEL     |     50 |           16
 Brand#23   | ECONOMY BRUSHED TIN       |     28 |           16
 Brand#23   | ECONOMY BURNISHED COPPER  |     45 |           16
 Brand#23   | ECONOMY BURNISHED NICKEL  |     19 |           16
 Brand#23   | ECONOMY BURNISHED TIN     |     31 |           16
 Brand#23   | LARGE ANODIZED NICKEL     |     31 |           16
 Brand#23   | LARGE BURNISHED NICKEL    |     31 |           16
 Brand#23   | LARGE POLISHED TIN        |     39 |           16
 Brand#23   | MEDIUM PLATED NICKEL      |      1 |           16
 Brand#23   | MEDIUM POLISHED COPPER    |     17 |           16
 Brand#23   | PROMO ANODIZED COPPER     |     19 |           16
 Brand#23   | PROMO ANODIZED STEEL      |     39 |           16
 Brand#23   | PROMO ANODIZED TIN        |     50 |           16
 Brand#23   | PROMO BURNISHED BRASS     |     17 |           16
 Brand#23   | PROMO PLATED NICKEL       |     50 |           16
 Brand#23   | PROMO POLISHED STEEL      |     50 |           16
 Brand#23   | SMALL BRUSHED BRASS       |     45 |           16
 Brand#23   | SMALL BURNISHED BRASS     |     31 |           16
 Brand#23   | SMALL PLATED BRASS        |     39 |           16
 Brand#23   | STANDARD ANODIZED TIN     |     28 |           16
 Brand#23   | STANDARD BRUSHED TIN      |     39 |           16
 Brand#23   | STANDARD BURNISHED COPPER |     19 |           16
 Brand#23   | STANDARD PLATED COPPER    |     45 |           16
 Brand#23   | STANDARD PLATED STEEL     |     17 |           16
 Brand#24   | ECONOMY BURNISHED TIN     |     39 |           16
 Brand#24   | LARGE BURNISHED BRASS     |     45 |           16
 Brand#24   | LARGE BURNISHED NICKEL    |     28 |           16
 Brand#24   | LARGE PLATED STEEL        |     28 |           16
 Brand#24   | MEDIUM ANODIZED TIN       |      1 |           16
 Brand#24   | MEDIUM BURNISHED STEEL    |     28 |           16
 Brand#24   | MEDIUM PLATED STEEL       |     17 |           16
 Brand#24   | MEDIUM POLISHED STEEL     |     19 |           16
 Brand#24   | PROMO BRUSHED BRASS       |     50 |           16
 Brand#24   | PROMO BRUSHED NICKEL      |     17 |           16
 Brand#24   | PROMO BRUSHED STEEL       |      1 |           16
 Brand#24   | PROMO PLATED BRASS        |     50 |           16
 Brand#24   | PROMO PLATED TIN          |     28 |           16
 Brand#24   | PROMO PLATED TIN          |     50 |           16
 Brand#24   | PROMO POLISHED BRASS      |     28 |           16
 Brand#24   | PROMO POLISHED COPPER     |     50 |           16
 Brand#24   | SMALL ANODIZED NICKEL     |     19 |           16
 Brand#24   | SMALL BRUSHED BRASS       |      1 |           16
 Brand#24   | SMALL BURNISHED STEEL     |      1 |           16
 Brand#24   | STANDARD BURNISHED COPPER |     19 |           16
 Brand#25   | ECONOMY ANODIZED COPPER   |     28 |           16
 Brand#25   | ECONOMY BURNISHED STEEL   |     31 |           16
 Brand#25   | ECONOMY POLISHED TIN      |     45 |           16
 Brand#25   | LARGE ANODIZED TIN        |     45 |           16
 Brand#25   | LARGE BURNISHED NICKEL    |     31 |           16
 Brand#25   | LARGE POLISHED STEEL      |     19 |           16
 Brand#25   | MEDIUM PLATED NICKEL      |     39 |           16
 Brand#25   | PROMO ANODIZED STEEL      |     19 |           16
 Brand#25   | PROMO ANODIZED TIN        |      1 |           16
 Brand#25   | PROMO ANODIZED TIN        |     31 |           16
 Brand#25   | PROMO BRUSHED COPPER      |     31 |           16
 Brand#25   | PROMO BRUSHED STEEL       |     28 |           16
 Brand#25   | PROMO PLATED COPPER       |      1 |           16
 Brand#25   | SMALL BURNISHED BRASS     |     31 |           16
 Brand#25   | SMALL BURNISHED NICKEL    |     39 |           16
 Brand#25   | SMALL PLATED COPPER       |      1 |           16
 Brand#25   | SMALL POLISHED STEEL      |      1 |           16
 Brand#25   | SMALL POLISHED STEEL      |     39 |           16
 Brand#25   | STANDARD PLATED BRASS     |     45 |           16
 Brand#25   | STANDARD POLISHED STEEL   |     50 |           16
 Brand#31   | ECONOMY ANODIZED BRASS    |     45 |           16
 Brand#31   | ECONOMY BRUSHED TIN       |     50 |           16
 Brand#31   | ECONOMY BURNISHED BRASS   |     39 |           16
 Brand#31   | ECONOMY BURNISHED COPPER  |      1 |           16
 Brand#31   | ECONOMY BURNISHED STEEL   |     28 |           16
 Brand#31   | ECONOMY POLISHED NICKEL   |     31 |           16
 Brand#31   | LARGE ANODIZED BRASS      |     50 |           16
 Brand#31   | LARGE ANODIZED NICKEL     |      1 |           16
 Brand#31   | LARGE ANODIZED STEEL      |     45 |           16
 Brand#31   | LARGE BURNISHED NICKEL    |     45 |           16
 Brand#31   | MEDIUM BURNISHED BRASS    |     19 |           16
 Brand#31   | MEDIUM POLISHED BRASS     |     50 |           16
 Brand#31   | MEDIUM POLISHED NICKEL    |     31 |           16
 Brand#31   | MEDIUM POLISHED STEEL     |     45 |           16
 Brand#31   | PROMO BRUSHED TIN         |     45 |           16
 Brand#31   | PROMO PLATED COPPER       |     31 |           16
 Brand#31   | PROMO PLATED NICKEL       |     50 |           16
 Brand#31   | PROMO PLATED TIN          |     31 |           16
 Brand#31   | SMALL BRUSHED TIN         |     19 |           16
 Brand#31   | SMALL POLISHED NICKEL     |     31 |           16
 Brand#31   | SMALL POLISHED TIN        |     45 |           16
 Brand#31   | STANDARD ANODIZED NICKEL  |     28 |           16
 Brand#31   | STANDARD BRUSHED COPPER   |     45 |           16
 Brand#31   | STANDARD PLATED COPPER    |     39 |           16
 Brand#32   | ECONOMY BURNISHED STEEL   |     39 |           16
 Brand#32   | LARGE BRUSHED TIN         |     17 |           16
 Brand#32   | LARGE PLATED BRASS        |     28 |           16
 Brand#32   | MEDIUM BRUSHED BRASS      |     28 |           16
 Brand#32   | MEDIUM PLATED COPPER      |     31 |           16
 Brand#32   | MEDIUM POLISHED STEEL     |     28 |           16
 Brand#32   | PROMO PLATED COPPER       |     39 |           16
 Brand#32   | PROMO PLATED TIN          |     45 |           16
 Brand#32   | SMALL ANODIZED NICKEL     |     39 |           16
 Brand#32   | SMALL POLISHED COPPER     |     39 |           16
 Brand#32   | STANDARD ANODIZED COPPER  |     39 |           16
 Brand#32   | STANDARD BURNISHED COPPER |     45 |           16
 Brand#32   | STANDARD BURNISHED NICKEL |     39 |           16
 Brand#32   | STANDARD POLISHED STEEL   |      1 |           16
 Brand#33   | ECONOMY ANODIZED STEEL    |     28 |           16
 Brand#33   | ECONOMY POLISHED NICKEL   |     19 |           16
 Brand#33   | LARGE ANODIZED STEEL      |     45 |           16
 Brand#33   | LARGE ANODIZED TIN        |     45 |           16
 Brand#33   | LARGE BURNISHED COPPER    |     45 |           16
 Brand#33   | LARGE BURNISHED NICKEL    |     39 |           16
 Brand#33   | LARGE PLATED BRASS        |     50 |           16
 Brand#33   | LARGE PLATED COPPER       |      1 |           16
 Brand#33   | MEDIUM ANODIZED TIN       |     28 |           16
 Brand#33   | MEDIUM BURNISHED STEEL    |     39 |           16
 Brand#33   | MEDIUM POLISHED NICKEL    |     39 |           16
 Brand#33   | PROMO BURNISHED BRASS     |     19 |           16
 Brand#33   | PROMO PLATED BRASS        |     31 |           16
 Brand#33   | PROMO POLISHED BRASS      |      1 |           16
 Brand#33   | SMALL BURNISHED STEEL     |     50 |           16
 Brand#33   | SMALL PLATED NICKEL       |     50 |           16
 Brand#33   | SMALL POLISHED BRASS      |      1 |           16
 Brand#33   | SMALL POLISHED NICKEL     |     19 |           16
 Brand#33   | SMALL POLISHED TIN        |     28 |           16
 Brand#33   | STANDARD BRUSHED TIN      |     17 |           16
 Brand#33   | STANDARD BURNISHED NICKEL |     17 |           16
 Brand#33   | STANDARD POLISHED BRASS   |     50 |           16
 Brand#34   | ECONOMY BURNISHED COPPER  |      1 |           16
 Brand#34   | ECONOMY BURNISHED NICKEL  |     28 |           16
 Brand#34   | PROMO BRUSHED NICKEL      |     45 |           16
 Brand#34   | PROMO BRUSHED STEEL       |     50 |           16
 Brand#34   | PROMO POLISHED STEEL      |     50 |           16
 Brand#34   | SMALL BRUSHED BRASS       |      1 |           16
 Brand#34   | SMALL PLATED BRASS        |     17 |           16
 Brand#34   | STANDARD BURNISHED NICKEL |     19 |           16
 Brand#34   | STANDARD BURNISHED STEEL  |     50 |           16
 Brand#34   | STANDARD PLATED COPPER    |     39 |           16
 Brand#35   | ECONOMY ANODIZED TIN      |     50 |           16
 Brand#35   | ECONOMY BURNISHED NICKEL  |     19 |           16
 Brand#35   | LARGE BRUSHED COPPER      |      1 |           16
 Brand#35   | LARGE PLATED BRASS        |     39 |           16
 Brand#35   | LARGE PLATED COPPER       |     19 |           16
 Brand#35   | LARGE PLATED STEEL        |     31 |           16
 Brand#35   | LARGE PLATED TIN          |     31 |           16
 Brand#35   | MEDIUM POLISHED BRASS     |     39 |           16
 Brand#35   | MEDIUM POLISHED NICKEL    |     39 |           16
 Brand#35   | MEDIUM POLISHED STEEL     |     39 |           16
 Brand#35   | PROMO ANODIZED BRASS      |     17 |           16
 Brand#35   | PROMO BRUSHED BRASS       |     39 |           16
 Brand#35   | PROMO BRUSHED NICKEL      |     19 |           16
 Brand#35   | PROMO BRUSHED TIN         |     28 |           16
 Brand#35   | SMALL ANODIZED BRASS      |     45 |           16
 Brand#35   | SMALL BRUSHED NICKEL      |      1 |           16
 Brand#35   | SMALL BURNISHED BRASS     |     50 |           16
 Brand#35   | SMALL POLISHED NICKEL     |     28 |           16
 Brand#35   | STANDARD BRUSHED BRASS    |     17 |           16
 Brand#35   | STANDARD BRUSHED BRASS    |     39 |           16
 Brand#35   | STANDARD BURNISHED NICKEL |     28 |           16
 Brand#35   | STANDARD BURNISHED STEEL  |     28 |           16
 Brand#41   | ECONOMY BURNISHED TIN     |      1 |           16
 Brand#41   | ECONOMY POLISHED STEEL    |     19 |           16
 Brand#41   | ECONOMY POLISHED STEEL    |     45 |           16
 Brand#41   | LARGE ANODIZED COPPER     |     50 |           16
 Brand#41   | LARGE ANODIZED STEEL      |     50 |           16
 Brand#41   | LARGE BRUSHED NICKEL      |      1 |           16
 Brand#41   | LARGE BRUSHED STEEL       |     39 |           16
 Brand#41   | LARGE PLATED STEEL        |     17 |           16
 Brand#41   | LARGE POLISHED BRASS      |     39 |           16
 Brand#41   | LARGE POLISHED TIN        |     39 |           16
 Brand#41   | MEDIUM BURNISHED TIN      |     31 |           16
 Brand#41   | MEDIUM PLATED STEEL       |     31 |           16
 Brand#41   | PROMO BURNISHED BRASS     |      1 |           16
 Brand#41   | PROMO BURNISHED COPPER    |     17 |           16
 Brand#41   | PROMO BURNISHED STEEL     |     31 |           16
 Brand#41   | PROMO POLISHED TIN        |     19 |           16
 Brand#41   | SMALL ANODIZED NICKEL     |     28 |           16
 Brand#41   | SMALL ANODIZED STEEL      |     28 |           16
 Brand#41   | SMALL ANODIZED STEEL      |     45 |           16
 Brand#41   | SMALL BRUSHED COPPER      |      1 |           16
 Brand#41   | SMALL BRUSHED NICKEL      |     45 |           16
 Brand#41   | SMALL BRUSHED TIN         |     17 |           16
 Brand#41   | SMALL BURNISHED NICKEL    |     39 |           16
 Brand#41   | SMALL BURNISHED TIN       |     50 |           16
 Brand#41   | SMALL POLISHED STEEL      |     45 |           16
 Brand#41   | STANDARD ANODIZED COPPER  |     31 |           16
 Brand#41   | STANDARD ANODIZED STEEL   |     50 |           16
 Brand#41   | STANDARD BRUSHED NICKEL   |     45 |           16
 Brand#41   | STANDARD BRUSHED STEEL    |     28 |           16
 Brand#41   | STANDARD BURNISHED STEEL  |     28 |           16
 Brand#41   | STANDARD BURNISHED TIN    |     39 |           16
 Brand#41   | STANDARD POLISHED STEEL   |     31 |           16
 Brand#42   | ECONOMY BRUSHED STEEL     |     39 |           16
 Brand#42   | ECONOMY BURNISHED COPPER  |     50 |           16
