          nation           | o_year |   sum_profit   
 INDIA                     |   1997 | 759799979.2682
 INDIA                     |   1996 | 755829153.1407
 INDIA                     |   1995 | 756540135.0223
 INDIA                     |   1994 | 743394720.8470
 INDIA                     |   1993 | 765890280.5985
 INDIA                     |   1992 | 752590494.5654
 INDONESIA                 |   1998 | 437526291.7693
 INDONESIA                 |   1997 | 749200619.2001
 INDONESIA                 |   1996 | 745539113.8987
 INDONESIA                 |   1995 | 748617072.1154
 INDONESIA                 |   1994 | 744362807.2612
 INDONESIA                 |   1993 | 743940302.1378
 INDONESIA                 |   1992 | 746119847.7934
 IRAN                      |   1998 | 453514779.9427
 IRAN                      |   1997 | 755385847.4978
 IRAN                      |   1996 | 758961331.1984
 IRAN                      |   1995 | 755747731.5716
 IRAN                      |   1994 | 756202173.5894
 IRAN                      |   1993 | 755287237.0898
 IRAN                      |   1992 | 751341701.3783
 IRAQ                      |   1998 | 442936279.0480
 IRAQ                      |   1997 | 746947941.0659
 IRAQ                      |   1996 | 769972316.7679
 IRAQ                      |   1995 | 754095610.0480
 IRAQ                      |   1994 | 749552094.9185
 IRAQ                      |   1993 | 753449342.2373
 IRAQ                      |   1992 | 749373126.5968
 JAPAN                     |   1998 | 440977387.4600
 JAPAN                     |   1997 | 747985861.6914
 JAPAN                     |   1996 | 755587931.7583
 JAPAN                     |   1995 | 758908256.0637
 JAPAN                     |   1994 | 748922662.7913
 JAPAN                     |   1993 | 751788017.4600
 JAPAN                     |   1992 | 753580025.8720
 JORDAN                    |   1998 | 439204077.2984
 JORDAN                    |   1997 | 746136270.1713
 JORDAN                    |   1996 | 746773336.1458
 JORDAN                    |   1995 | 735962116.8275
 JORDAN                    |   1994 | 736889443.4842
 JORDAN                    |   1993 | 734050450.2496
 JORDAN                    |   1992 | 743828127.4560
 KENYA                     |   1998 | 438753227.9740
 KENYA                     |   1997 | 748493442.1871
 KENYA                     |   1996 | 750466357.7048
 KENYA                     |   1995 | 744598563.2754
 KENYA                     |   1994 | 742865226.0256
 KENYA                     |   1993 | 746472617.2745
 KENYA                     |   1992 | 743813569.0525
 MOROCCO                   |   1998 | 444431045.8840
 MOROCCO                   |   1997 | 747386803.3229
 MOROCCO                   |   1996 | 748544096.1530
 MOROCCO                   |   1995 | 745016432.7721
 MOROCCO                   |   1994 | 744694320.2540
 MOROCCO                   |   1993 | 752671274.7809
 MOROCCO                   |   1992 | 750128686.8396
 MOZAMBIQUE                |   1998 | 422560764.7777
 MOZAMBIQUE                |   1997 | 729301471.0685
 MOZAMBIQUE                |   1996 | 733530844.8560
 MOZAMBIQUE                |   1995 | 727537980.2440
 MOZAMBIQUE                |   1994 | 731346026.1208
 MOZAMBIQUE                |   1993 | 728062569.3243
 MOZAMBIQUE                |   1992 | 728426054.8172
 PERU                      |   1998 | 437434201.5859
 PERU                      |   1997 | 750015447.1767
 PERU                      |   1996 | 755556497.2343
 PERU                      |   1995 | 756494721.2746
 PERU                      |   1994 | 761447693.3846
 PERU                      |   1993 | 747757572.7450
 PERU                      |   1992 | 755776445.4447
 ROMANIA                   |   1998 | 427578527.4873
 ROMANIA                   |   1997 | 735427367.5727
 ROMANIA                   |   1996 | 734680453.6072
 ROMANIA                   |   1995 | 737444097.1449
 ROMANIA                   |   1994 | 738299918.3216
 ROMANIA                   |   1993 | 726738595.1158
 ROMANIA                   |   1992 | 739964647.5531
 RUSSIA                    |   1998 | 442477290.0451
 RUSSIA                    |   1997 | 739977626.3892
 RUSSIA                    |   1996 | 743228378.3312
 RUSSIA                    |   1995 | 742789230.2012
 RUSSIA                    |   1994 | 753629317.9358
 RUSSIA                    |   1993 | 734779758.2265
 RUSSIA                    |   1992 | 745942819.4766
 SAUDI ARABIA              |   1998 | 435854366.9673
 SAUDI ARABIA              |   1997 | 745211059.3217
 SAUDI ARABIA              |   1996 | 741462160.8102
 SAUDI ARABIA              |   1995 | 746794389.3479
 SAUDI ARABIA              |   1994 | 755965288.0728
 SAUDI ARABIA              |   1993 | 747333850.5668
 SAUDI ARABIA              |   1992 | 746056041.2118
 UNITED KINGDOM            |   1998 | 445466981.6699
 UNITED KINGDOM            |   1997 | 750988637.6548
 UNITED KINGDOM            |   1996 | 742095211.6206
 UNITED KINGDOM            |   1995 | 757778899.0838
 UNITED KINGDOM            |   1994 | 764131302.8850
 UNITED KINGDOM            |   1993 | 756614726.2183
 UNITED KINGDOM            |   1992 | 753522048.6331
 UNITED STATES             |   1998 | 448688853.7839
 UNITED STATES             |   1997 | 761740497.4730
 UNITED STATES             |   1996 | 761850973.1555
 UNITED STATES             |   1995 | 754469389.5486
 UNITED STATES             |   1994 | 769067171.3598
 UNITED STATES             |   1993 | 771679030.3486
 UNITED STATES             |   1992 | 759123419.7822
 VIETNAM                   |   1998 | 427005403.4718
 VIETNAM                   |   1997 | 749909491.7398
 VIETNAM                   |   1996 | 745565748.9203
 VIETNAM                   |   1995 | 738894479.2366
 VIETNAM                   |   1994 | 742772211.9282
 VIETNAM                   |   1993 | 738777755.8995
 VIETNAM                   |   1992 | 739490258.9322
(175 rows)

