          nation           | o_year |   sum_profit   
 GERMANY                   |   1992 | 380433226.1689
 INDIA                     |   1998 | 219700678.5940
 INDIA                     |   1997 | 379564286.2304
 INDIA                     |   1996 | 381328359.2651
 INDIA                     |   1995 | 385354957.8544
 INDIA                     |   1994 | 384674927.3162
 INDIA                     |   1993 | 379348004.9972
 INDIA                     |   1992 | 379751418.5287
 INDONESIA                 |   1998 | 218968298.7773
 INDONESIA                 |   1997 | 375907072.7470
 INDONESIA                 |   1996 | 379793451.0994
 INDONESIA                 |   1995 | 378128458.8735
 INDONESIA                 |   1994 | 375546670.8945
 INDONESIA                 |   1993 | 375926443.8303
 INDONESIA                 |   1992 | 374285023.7431
 IRAN                      |   1998 | 220358494.2923
 IRAN                      |   1997 | 368131937.0817
 IRAN                      |   1996 | 370995612.6347
 IRAN                      |   1995 | 367280405.0231
 IRAN                      |   1994 | 368314935.5049
 IRAN                      |   1993 | 368335441.2879
 IRAN                      |   1992 | 363350074.5182
 IRAQ                      |   1998 | 225914590.9981
 IRAQ                      |   1997 | 392248384.7781
 IRAQ                      |   1996 | 390602453.6818
 IRAQ                      |   1995 | 389907219.1428
 IRAQ                      |   1994 | 395503289.5993
 IRAQ                      |   1993 | 387346673.3666
 IRAQ                      |   1992 | 391153304.2263
 JAPAN                     |   1998 | 218948006.7876
 JAPAN                     |   1997 | 375942512.3722
 JAPAN                     |   1996 | 376928680.7462
 JAPAN                     |   1995 | 384879476.5593
 JAPAN                     |   1994 | 372052842.1583
 JAPAN                     |   1993 | 377947391.7277
 JAPAN                     |   1992 | 381135763.9594
 JORDAN                    |   1998 | 218069659.2025
 JORDAN                    |   1997 | 375340881.0628
 JORDAN                    |   1996 | 376606777.9373
 JORDAN                    |   1995 | 371652893.7012
 JORDAN                    |   1994 | 370303420.2890
 JORDAN                    |   1993 | 367278588.3338
 JORDAN                    |   1992 | 369822535.9963
 KENYA                     |   1998 | 219299102.4275
 KENYA                     |   1997 | 367162847.4819
 KENYA                     |   1996 | 365582879.7759
 KENYA                     |   1995 | 367414368.3121
 KENYA                     |   1994 | 366629003.0127
 KENYA                     |   1993 | 365582518.3602
 KENYA                     |   1992 | 360806118.4804
 MOROCCO                   |   1998 | 221390148.8510
 MOROCCO                   |   1997 | 384961061.8108
 MOROCCO                   |   1996 | 391181669.0723
 MOROCCO                   |   1995 | 388162715.5421
 MOROCCO                   |   1994 | 380754887.8845
 MOROCCO                   |   1993 | 383281890.6765
 MOROCCO                   |   1992 | 383719088.5882
 MOZAMBIQUE                |   1998 | 216374616.2782
 MOZAMBIQUE                |   1997 | 372558488.6072
 MOZAMBIQUE                |   1996 | 372152577.8441
 MOZAMBIQUE                |   1995 | 371009550.9843
 MOZAMBIQUE                |   1994 | 373055075.4501
 MOZAMBIQUE                |   1993 | 372627381.6919
 MOZAMBIQUE                |   1992 | 370393351.6437
 PERU                      |   1998 | 224388148.6365
 PERU                      |   1997 | 379741432.7002
 PERU                      |   1996 | 376281524.4061
 PERU                      |   1995 | 374301737.2918
 PERU                      |   1994 | 372665776.3778
 PERU                      |   1993 | 377203572.1557
 PERU                      |   1992 | 373994690.7258
 ROMANIA                   |   1998 | 219386064.8285
 ROMANIA                   |   1997 | 362713876.3305
 ROMANIA                   |   1996 | 375546855.8345
 ROMANIA                   |   1995 | 377526036.1158
 ROMANIA                   |   1994 | 370318227.9022
 ROMANIA                   |   1993 | 382406178.3484
 ROMANIA                   |   1992 | 374442558.0112
 RUSSIA                    |   1998 | 221378208.0536
 RUSSIA                    |   1997 | 380883252.9212
 RUSSIA                    |   1996 | 380665711.3602
 RUSSIA                    |   1995 | 383806743.3578
 RUSSIA                    |   1994 | 379665968.1884
 RUSSIA                    |   1993 | 387806786.3725
 RUSSIA                    |   1992 | 378273837.2382
 SAUDI ARABIA              |   1998 | 226202548.7978
 SAUDI ARABIA              |   1997 | 379973863.4645
 SAUDI ARABIA              |   1996 | 380594773.6067
 SAUDI ARABIA              |   1995 | 374753017.2322
 SAUDI ARABIA              |   1994 | 375239285.5249
 SAUDI ARABIA              |   1993 | 377731241.2945
 SAUDI ARABIA              |   1992 | 370255584.2218
 UNITED KINGDOM            |   1998 | 221588538.7579
 UNITED KINGDOM            |   1997 | 368747374.9823
 UNITED KINGDOM            |   1996 | 380051487.5601
 UNITED KINGDOM            |   1995 | 371730137.2352
 UNITED KINGDOM            |   1994 | 374758745.3983
 UNITED KINGDOM            |   1993 | 377514404.0712
 UNITED KINGDOM            |   1992 | 373351279.0061
 UNITED STATES             |   1998 | 222933621.1126
 UNITED STATES             |   1997 | 383590112.0199
 UNITED STATES             |   1996 | 376707681.2259
 UNITED STATES             |   1995 | 380863419.6410
 UNITED STATES             |   1994 | 376477608.8535
 UNITED STATES             |   1993 | 375581489.1565
 UNITED STATES             |   1992 | 374356018.8165
 VIETNAM                   |   1998 | 213788002.6761
 VIETNAM                   |   1997 | 377244790.3772
 VIETNAM                   |   1996 | 367635854.8895
 VIETNAM                   |   1995 | 369252384.7501
 VIETNAM                   |   1994 | 371640886.0328
 VIETNAM                   |   1993 | 365227244.9078
 VIETNAM                   |   1992 | 370572786.8000
(175 rows)

