          nation           | o_year |   sum_profit   
 INDONESIA                 |   1997 | 192315091.8583
 INDONESIA                 |   1996 | 188968518.7458
 INDONESIA                 |   1995 | 189646828.7112
 INDONESIA                 |   1994 | 194585565.4708
 INDONESIA                 |   1993 | 187715916.5468
 INDONESIA                 |   1992 | 190989165.2838
 IRAN                      |   1998 | 108702606.8986
 IRAN                      |   1997 | 183856991.5379
 IRAN                      |   1996 | 179749494.8681
 IRAN                      |   1995 | 178215260.5525
 IRAN                      |   1994 | 178554389.1260
 IRAN                      |   1993 | 182111693.8282
 IRAN                      |   1992 | 178424387.6273
 IRAQ                      |   1998 | 111492285.5846
 IRAQ                      |   1997 | 189679470.7962
 IRAQ                      |   1996 | 191624635.4282
 IRAQ                      |   1995 | 191969442.3205
 IRAQ                      |   1994 | 195201491.7491
 IRAQ                      |   1993 | 193109457.2027
 IRAQ                      |   1992 | 187199832.5884
 JAPAN                     |   1998 | 101898625.3142
 JAPAN                     |   1997 | 177950060.2293
 JAPAN                     |   1996 | 183814124.1525
 JAPAN                     |   1995 | 182655289.8939
 JAPAN                     |   1994 | 182962772.7212
 JAPAN                     |   1993 | 180861073.6094
 JAPAN                     |   1992 | 178859522.7271
 JORDAN                    |   1998 | 110933235.8470
 JORDAN                    |   1997 | 182475640.4902
 JORDAN                    |   1996 | 187900132.0493
 JORDAN                    |   1995 | 183411877.7322
 JORDAN                    |   1994 | 185663622.7167
 JORDAN                    |   1993 | 180080614.1735
 JORDAN                    |   1992 | 187614862.9750
 KENYA                     |   1998 | 107419648.9719
 KENYA                     |   1997 | 184508296.0729
 KENYA                     |   1996 | 183676257.2148
 KENYA                     |   1995 | 179514026.8732
 KENYA                     |   1994 | 188234948.9926
 KENYA                     |   1993 | 182167953.6406
 KENYA                     |   1992 | 183238670.9444
 MOROCCO                   |   1998 | 111611820.7890
 MOROCCO                   |   1997 | 191252344.3644
 MOROCCO                   |   1996 | 193530401.1459
 MOROCCO                   |   1995 | 192488209.1312
 MOROCCO                   |   1994 | 191797568.8716
 MOROCCO                   |   1993 | 191277091.6528
 MOROCCO                   |   1992 | 190346733.0516
 MOZAMBIQUE                |   1998 | 107239575.1756
 MOZAMBIQUE                |   1997 | 185284559.1814
 MOZAMBIQUE                |   1996 | 183764053.5959
 MOZAMBIQUE                |   1995 | 181366307.5955
 MOZAMBIQUE                |   1994 | 182664341.9085
 MOZAMBIQUE                |   1993 | 189707534.5275
 MOZAMBIQUE                |   1992 | 182548191.7093
 PERU                      |   1998 | 112712577.7085
 PERU                      |   1997 | 188477707.7133
 PERU                      |   1996 | 184154077.9709
 PERU                      |   1995 | 188978479.2884
 PERU                      |   1994 | 187271937.6262
 PERU                      |   1993 | 185517966.0713
 PERU                      |   1992 | 193729885.9851
 ROMANIA                   |   1998 | 104557010.6763
 ROMANIA                   |   1997 | 185346054.5521
 ROMANIA                   |   1996 | 188934284.2650
 ROMANIA                   |   1995 | 186645755.1776
 ROMANIA                   |   1994 | 189037005.2338
 ROMANIA                   |   1993 | 189786697.3525
 ROMANIA                   |   1992 | 187862267.0967
 RUSSIA                    |   1998 | 112036405.4101
 RUSSIA                    |   1997 | 188067365.4362
 RUSSIA                    |   1996 | 180695494.0032
 RUSSIA                    |   1995 | 184489135.9511
 RUSSIA                    |   1994 | 182860508.7056
 RUSSIA                    |   1993 | 187689216.7312
 RUSSIA                    |   1992 | 185830336.9381
 SAUDI ARABIA              |   1998 | 114229263.8627
 SAUDI ARABIA              |   1997 | 196881228.4116
 SAUDI ARABIA              |   1996 | 193733708.0022
 SAUDI ARABIA              |   1995 | 191715892.6289
 SAUDI ARABIA              |   1994 | 198447406.0057
 SAUDI ARABIA              |   1993 | 191066730.7362
 SAUDI ARABIA              |   1992 | 193953900.6351
 UNITED KINGDOM            |   1998 | 118402115.3991
 UNITED KINGDOM            |   1997 | 195541975.5104
 UNITED KINGDOM            |   1996 | 199226677.9510
 UNITED KINGDOM            |   1995 | 197005913.0423
 UNITED KINGDOM            |   1994 | 197058282.6091
 UNITED KINGDOM            |   1993 | 198156210.3330
 UNITED KINGDOM            |   1992 | 192886464.0602
 UNITED STATES             |   1998 | 115171874.6491
 UNITED STATES             |   1997 | 192697022.1381
 UNITED STATES             |   1996 | 194470898.3576
 UNITED STATES             |   1995 | 194149456.1324
 UNITED STATES             |   1994 | 193840330.0811
 UNITED STATES             |   1993 | 195510340.5997
 UNITED STATES             |   1992 | 197529701.2880
 VIETNAM                   |   1998 | 106069865.9371
 VIETNAM                   |   1997 | 180573978.4441
 VIETNAM                   |   1996 | 181991715.8337
 VIETNAM                   |   1995 | 179647613.0247
 VIETNAM                   |   1994 | 184069173.1912
 VIETNAM                   |   1993 | 186289677.0188
 VIETNAM                   |   1992 | 179194943.1290
(175 rows)

