  p_brand   |          p_type           | p_size | supplier_cnt 
 Brand#53   | ECONOMY BURNISHED COPPER  |     45 |          207
 Brand#55   | MEDIUM BRUSHED STEEL      |     12 |          207
 Brand#11   | PROMO BURNISHED COPPER    |     12 |          204
 Brand#13   | PROMO ANODIZED NICKEL     |     45 |          204
 Brand#13   | STANDARD BRUSHED BRASS    |     43 |          204
 Brand#14   | LARGE BURNISHED BRASS     |     38 |          204
 Brand#15   | LARGE POLISHED NICKEL     |     12 |          204
 Brand#22   | STANDARD PLATED NICKEL    |     38 |          204
 Brand#23   | ECONOMY POLISHED COPPER   |     12 |          204
 Brand#23   | LARGE BURNISHED NICKEL    |      8 |          204
 Brand#23   | MEDIUM POLISHED NICKEL    |     30 |          204
 Brand#23   | PROMO ANODIZED COPPER     |     28 |          204
 Brand#23   | SMALL BURNISHED BRASS     |     12 |          204
 Brand#23   | STANDARD BRUSHED TIN      |     28 |          204
 Brand#24   | ECONOMY BRUSHED TIN       |     43 |          204
 Brand#24   | SMALL BURNISHED COPPER    |     12 |          204
 Brand#24   | SMALL BURNISHED STEEL     |     30 |          204
 Brand#25   | SMALL ANODIZED STEEL      |     38 |          204
 Brand#25   | STANDARD BURNISHED BRASS  |     12 |          204
 Brand#31   | STANDARD BURNISHED BRASS  |     38 |          204
 Brand#33   | ECONOMY POLISHED NICKEL   |     43 |          204
 Brand#33   | LARGE BRUSHED NICKEL      |     28 |          204
 Brand#33   | SMALL POLISHED TIN        |     30 |          204
 Brand#34   | ECONOMY PLATED TIN        |      8 |          204
 Brand#34   | PROMO BURNISHED STEEL     |     30 |          204
 Brand#34   | PROMO PLATED BRASS        |      8 |          204
 Brand#34   | SMALL PLATED NICKEL       |     28 |          204
 Brand#35   | LARGE ANODIZED STEEL      |     41 |          204
 Brand#35   | SMALL PLATED STEEL        |     28 |          204
 Brand#41   | MEDIUM PLATED STEEL       |     12 |          204
 Brand#42   | MEDIUM POLISHED COPPER    |     45 |          204
 Brand#42   | PROMO BURNISHED NICKEL    |     38 |          204
 Brand#42   | PROMO BURNISHED STEEL     |     41 |          204
 Brand#43   | MEDIUM POLISHED NICKEL    |      8 |          204
 Brand#45   | SMALL PLATED STEEL        |     38 |          204
 Brand#51   | SMALL BRUSHED BRASS       |     41 |          204
 Brand#52   | PROMO PLATED NICKEL       |      8 |          204
 Brand#54   | ECONOMY POLISHED BRASS    |     30 |          204
 Brand#54   | ECONOMY POLISHED COPPER   |     43 |          204
 Brand#14   | ECONOMY ANODIZED COPPER   |      8 |          203
 Brand#33   | PROMO BRUSHED TIN         |     12 |          203
 Brand#35   | MEDIUM BURNISHED TIN      |     45 |          203
 Brand#11   | ECONOMY ANODIZED COPPER   |     28 |          200
 Brand#11   | MEDIUM PLATED STEEL       |     45 |          200
 Brand#13   | ECONOMY POLISHED BRASS    |     12 |          200
 Brand#13   | LARGE BRUSHED TIN         |     38 |          200
 Brand#15   | MEDIUM BURNISHED COPPER   |     12 |          200
 Brand#15   | MEDIUM POLISHED COPPER    |     41 |          200
 Brand#22   | LARGE BRUSHED STEEL       |     12 |          200
 Brand#22   | PROMO POLISHED BRASS      |     45 |          200
 Brand#22   | SMALL ANODIZED BRASS      |     38 |          200
 Brand#23   | STANDARD PLATED STEEL     |     12 |          200
 Brand#24   | ECONOMY BURNISHED TIN     |     30 |          200
 Brand#24   | MEDIUM BURNISHED NICKEL   |     43 |          200
 Brand#25   | LARGE PLATED STEEL        |     28 |          200
 Brand#31   | PROMO BRUSHED BRASS       |     43 |          200
 Brand#31   | SMALL ANODIZED COPPER     |     43 |          200
 Brand#33   | PROMO ANODIZED TIN        |      8 |          200
 Brand#34   | LARGE POLISHED COPPER     |     12 |          200
 Brand#34   | MEDIUM POLISHED COPPER    |     43 |          200
 Brand#35   | PROMO BRUSHED TIN         |      8 |          200
 Brand#41   | LARGE BRUSHED NICKEL      |     45 |          200
 Brand#41   | LARGE POLISHED TIN        |     41 |          200
 Brand#42   | MEDIUM ANODIZED TIN       |      8 |          200
 Brand#42   | SMALL BRUSHED BRASS       |     43 |          200
 Brand#42   | SMALL BRUSHED NICKEL      |     30 |          200
 Brand#43   | MEDIUM BURNISHED NICKEL   |     38 |          200
 Brand#44   | ECONOMY POLISHED STEEL    |     12 |          200
 Brand#44   | LARGE BRUSHED STEEL       |     28 |          200
 Brand#44   | LARGE PLATED BRASS        |      8 |          200
 Brand#44   | MEDIUM POLISHED COPPER    |     45 |          200
 Brand#51   | LARGE BURNISHED STEEL     |     45 |          200
 Brand#51   | MEDIUM BRUSHED STEEL      |     38 |          200
 Brand#51   | MEDIUM POLISHED TIN       |     28 |          200
 Brand#52   | PROMO BRUSHED NICKEL      |     30 |          200
 Brand#52   | PROMO BURNISHED TIN       |     43 |          200
 Brand#52   | STANDARD PLATED COPPER    |     38 |          200
 Brand#55   | SMALL BRUSHED COPPER      |     43 |          200
 Brand#55   | SMALL PLATED TIN          |     45 |          200
 Brand#55   | SMALL POLISHED COPPER     |     45 |          200
 Brand#55   | SMALL POLISHED TIN        |     43 |          200
 Brand#13   | PROMO BURNISHED STEEL     |     30 |          199
 Brand#22   | SMALL POLISHED STEEL      |     43 |          199
 Brand#23   | SMALL POLISHED NICKEL     |     38 |          199
 Brand#25   | PROMO BRUSHED STEEL       |     28 |          199
 Brand#31   | SMALL BRUSHED NICKEL      |     38 |          199
 Brand#33   | MEDIUM PLATED STEEL       |     30 |          199
 Brand#33   | STANDARD PLATED STEEL     |     45 |          199
 Brand#34   | LARGE POLISHED BRASS      |     45 |          199
 Brand#34   | SMALL ANODIZED BRASS      |     28 |          199
 Brand#41   | LARGE BURNISHED NICKEL    |     38 |          199
 Brand#55   | SMALL PLATED BRASS        |     12 |          199
 Brand#13   | ECONOMY ANODIZED BRASS    |     30 |          198
 Brand#11   | LARGE POLISHED COPPER     |     41 |          196
 Brand#13   | ECONOMY POLISHED BRASS    |     38 |          196
 Brand#13   | ECONOMY POLISHED BRASS    |     43 |          196
 Brand#13   | LARGE PLATED NICKEL       |     28 |          196
 Brand#13   | SMALL BURNISHED BRASS     |     41 |          196
 Brand#13   | STANDARD BRUSHED BRASS    |     28 |          196
 Brand#14   | LARGE BURNISHED STEEL     |     43 |          196
 Brand#14   | PROMO POLISHED TIN        |     12 |          196
 Brand#15   | MEDIUM POLISHED COPPER    |     38 |          196
 Brand#15   | MEDIUM POLISHED NICKEL    |      8 |          196
 Brand#15   | PROMO POLISHED NICKEL     |     28 |          196
 Brand#21   | ECONOMY BRUSHED NICKEL    |     12 |          196
 Brand#21   | ECONOMY PLATED NICKEL     |      8 |          196
 Brand#22   | ECONOMY BRUSHED COPPER    |     30 |          196
 Brand#22   | LARGE POLISHED STEEL      |     30 |          196
 Brand#22   | PROMO ANODIZED BRASS      |     45 |          196
 Brand#23   | ECONOMY PLATED BRASS      |     12 |          196
 Brand#23   | MEDIUM ANODIZED NICKEL    |     43 |          196
 Brand#23   | SMALL BRUSHED COPPER      |     41 |          196
 Brand#24   | ECONOMY PLATED STEEL      |     28 |          196
 Brand#24   | PROMO BRUSHED BRASS       |     30 |          196
 Brand#25   | SMALL POLISHED STEEL      |     38 |          196
 Brand#25   | STANDARD PLATED STEEL     |     45 |          196
 Brand#31   | ECONOMY ANODIZED TIN      |     41 |          196
 Brand#31   | MEDIUM ANODIZED BRASS     |     45 |          196
 Brand#31   | PROMO ANODIZED BRASS      |     12 |          196
 Brand#31   | STANDARD BRUSHED COPPER   |     43 |          196
 Brand#32   | STANDARD BRUSHED TIN      |     43 |          196
 Brand#34   | LARGE ANODIZED STEEL      |     30 |          196
 Brand#35   | ECONOMY BURNISHED BRASS   |     28 |          196
 Brand#35   | PROMO BRUSHED COPPER      |     43 |          196
 Brand#41   | ECONOMY POLISHED COPPER   |     30 |          196
 Brand#41   | ECONOMY POLISHED TIN      |     43 |          196
 Brand#41   | LARGE ANODIZED BRASS      |     43 |          196
 Brand#41   | SMALL BURNISHED BRASS     |     38 |          196
 Brand#41   | SMALL POLISHED NICKEL     |     43 |          196
 Brand#41   | STANDARD BRUSHED COPPER   |     41 |          196
 Brand#41   | STANDARD BRUSHED TIN      |     12 |          196
 Brand#41   | STANDARD BURNISHED COPPER |     45 |          196
 Brand#41   | STANDARD PLATED TIN       |     12 |          196
 Brand#43   | MEDIUM PLATED STEEL       |     12 |          196
 Brand#43   | PROMO PLATED BRASS        |     45 |          196
 Brand#43   | SMALL BRUSHED STEEL       |     41 |          196
 Brand#44   | ECONOMY BURNISHED COPPER  |     41 |          196
 Brand#44   | MEDIUM BURNISHED STEEL    |     43 |          196
 Brand#44   | MEDIUM PLATED NICKEL      |     41 |          196
 Brand#44   | PROMO ANODIZED BRASS      |     28 |          196
 Brand#44   | SMALL ANODIZED TIN        |     12 |          196
 Brand#45   | ECONOMY POLISHED COPPER   |     30 |          196
 Brand#45   | LARGE BRUSHED NICKEL      |     45 |          196
 Brand#45   | LARGE POLISHED COPPER     |     38 |          196
 Brand#51   | LARGE POLISHED NICKEL     |     38 |          196
 Brand#51   | MEDIUM BURNISHED BRASS    |     28 |          196
 Brand#51   | SMALL PLATED NICKEL       |     28 |          196
 Brand#51   | SMALL POLISHED BRASS      |     41 |          196
 Brand#52   | ECONOMY PLATED BRASS      |     12 |          196
 Brand#52   | LARGE BRUSHED TIN         |     43 |          196
 Brand#52   | MEDIUM POLISHED COPPER    |     38 |          196
 Brand#52   | PROMO BURNISHED STEEL     |      8 |          196
 Brand#52   | SMALL PLATED COPPER       |     30 |          196
 Brand#52   | STANDARD BURNISHED STEEL  |     12 |          196
 Brand#53   | LARGE BURNISHED STEEL     |     28 |          196
 Brand#53   | PROMO BURNISHED STEEL     |      8 |          196
 Brand#53   | SMALL PLATED BRASS        |      8 |          196
 Brand#54   | MEDIUM POLISHED BRASS     |     43 |          196
 Brand#54   | PROMO ANODIZED NICKEL     |     30 |          196
 Brand#54   | STANDARD BRUSHED COPPER   |     45 |          196
 Brand#55   | ECONOMY BURNISHED NICKEL  |     28 |          196
 Brand#55   | LARGE BRUSHED STEEL       |     45 |          196
 Brand#55   | LARGE BURNISHED NICKEL    |     45 |          196
 Brand#55   | PROMO POLISHED TIN        |     30 |          196
 Brand#13   | LARGE PLATED BRASS        |     28 |          195
 Brand#13   | PROMO PLATED BRASS        |     45 |          195
 Brand#22   | LARGE PLATED BRASS        |     28 |          195
 Brand#22   | SMALL POLISHED COPPER     |     30 |          195
 Brand#23   | SMALL ANODIZED BRASS      |     12 |          195
 Brand#23   | STANDARD ANODIZED TIN     |     38 |          195
 Brand#25   | PROMO BRUSHED NICKEL      |     41 |          195
 Brand#32   | LARGE BRUSHED BRASS       |     28 |          195
 Brand#33   | SMALL BRUSHED TIN         |     12 |          195
 Brand#41   | ECONOMY BRUSHED BRASS     |      8 |          195
 Brand#42   | ECONOMY BURNISHED NICKEL  |     12 |          195
 Brand#42   | SMALL BRUSHED BRASS       |     38 |          195
 Brand#44   | MEDIUM ANODIZED NICKEL    |     28 |          195
 Brand#45   | MEDIUM PLATED TIN         |     45 |          195
 Brand#51   | SMALL POLISHED STEEL      |     30 |          195
 Brand#11   | ECONOMY BURNISHED STEEL   |     28 |          192
 Brand#11   | LARGE ANODIZED BRASS      |     41 |          192
 Brand#11   | MEDIUM BURNISHED TIN      |      8 |          192
 Brand#11   | PROMO BURNISHED STEEL     |     30 |          192
 Brand#13   | PROMO BRUSHED STEEL       |     30 |          192
 Brand#13   | SMALL PLATED TIN          |     28 |          192
 Brand#13   | STANDARD BRUSHED NICKEL   |     28 |          192
 Brand#14   | LARGE ANODIZED NICKEL     |     30 |          192
 Brand#15   | ECONOMY BRUSHED COPPER    |     30 |          192
 Brand#15   | LARGE ANODIZED NICKEL     |     30 |          192
 Brand#15   | LARGE BRUSHED COPPER      |     41 |          192
 Brand#15   | SMALL ANODIZED TIN        |     28 |          192
 Brand#15   | SMALL BURNISHED STEEL     |     43 |          192
 Brand#15   | STANDARD ANODIZED TIN     |     38 |          192
 Brand#15   | STANDARD BRUSHED NICKEL   |      8 |          192
 Brand#15   | STANDARD BURNISHED BRASS  |     38 |          192
 Brand#15   | STANDARD PLATED BRASS     |      8 |          192
 Brand#21   | ECONOMY ANODIZED NICKEL   |     41 |          192
 Brand#21   | ECONOMY PLATED STEEL      |     12 |          192
 Brand#21   | ECONOMY POLISHED COPPER   |     45 |          192
 Brand#21   | MEDIUM BURNISHED STEEL    |     38 |          192
 Brand#21   | MEDIUM POLISHED TIN       |     38 |          192
 Brand#21   | SMALL PLATED COPPER       |     41 |          192
 Brand#22   | ECONOMY PLATED BRASS      |     43 |          192
 Brand#23   | LARGE PLATED BRASS        |     38 |          192
 Brand#23   | MEDIUM BURNISHED NICKEL   |     12 |          192
 Brand#24   | LARGE PLATED TIN          |     12 |          192
 Brand#24   | PROMO BURNISHED BRASS     |     41 |          192
 Brand#24   | PROMO POLISHED TIN        |     12 |          192
 Brand#24   | SMALL BRUSHED STEEL       |     45 |          192
 Brand#24   | SMALL BRUSHED TIN         |     28 |          192
 Brand#25   | ECONOMY BRUSHED BRASS     |     12 |          192
 Brand#25   | MEDIUM BURNISHED COPPER   |     43 |          192
 Brand#25   | PROMO ANODIZED BRASS      |     12 |          192
 Brand#25   | STANDARD BURNISHED COPPER |     30 |          192
 Brand#25   | STANDARD PLATED COPPER    |     45 |          192
 Brand#31   | ECONOMY PLATED TIN        |     43 |          192
 Brand#31   | LARGE BRUSHED STEEL       |      8 |          192
 Brand#31   | MEDIUM ANODIZED BRASS     |      8 |          192
 Brand#31   | STANDARD ANODIZED NICKEL  |     43 |          192
 Brand#31   | STANDARD ANODIZED TIN     |     43 |          192
 Brand#32   | ECONOMY POLISHED NICKEL   |     28 |          192
 Brand#32   | LARGE PLATED STEEL        |     30 |          192
 Brand#33   | ECONOMY PLATED BRASS      |     28 |          192
 Brand#33   | ECONOMY POLISHED COPPER   |     38 |          192
 Brand#33   | LARGE POLISHED NICKEL     |      8 |          192
 Brand#33   | LARGE POLISHED STEEL      |     43 |          192
 Brand#33   | PROMO BURNISHED NICKEL    |      8 |          192
 Brand#33   | PROMO PLATED TIN          |      8 |          192
 Brand#33   | SMALL PLATED STEEL        |     12 |          192
 Brand#33   | SMALL POLISHED BRASS      |      8 |          192
 Brand#33   | STANDARD BRUSHED COPPER   |      8 |          192
 Brand#34   | LARGE BURNISHED TIN       |     38 |          192
 Brand#34   | MEDIUM BRUSHED NICKEL     |     38 |          192
 Brand#34   | MEDIUM BURNISHED STEEL    |     12 |          192
 Brand#34   | MEDIUM PLATED COPPER      |     38 |          192
 Brand#34   | SMALL BURNISHED STEEL     |      8 |          192
 Brand#35   | ECONOMY BRUSHED NICKEL    |     28 |          192
 Brand#35   | ECONOMY POLISHED TIN      |     43 |          192
 Brand#35   | MEDIUM ANODIZED BRASS     |      8 |          192
 Brand#35   | PROMO ANODIZED BRASS      |      8 |          192
 Brand#35   | SMALL PLATED COPPER       |     12 |          192
 Brand#35   | STANDARD ANODIZED COPPER  |     28 |          192
 Brand#35   | STANDARD BRUSHED COPPER   |     28 |          192
 Brand#35   | STANDARD BRUSHED TIN      |     45 |          192
 Brand#35   | STANDARD BURNISHED NICKEL |     12 |          192
 Brand#35   | STANDARD PLATED BRASS     |     41 |          192
 Brand#41   | ECONOMY PLATED BRASS      |     45 |          192
 Brand#41   | ECONOMY PLATED COPPER     |     43 |          192
 Brand#41   | LARGE ANODIZED STEEL      |     28 |          192
 Brand#41   | MEDIUM ANODIZED STEEL     |     41 |          192
 Brand#41   | PROMO BURNISHED NICKEL    |     12 |          192
 Brand#41   | PROMO POLISHED NICKEL     |     28 |          192
 Brand#41   | STANDARD ANODIZED BRASS   |     38 |          192
 Brand#41   | STANDARD ANODIZED STEEL   |     45 |          192
 Brand#42   | LARGE BRUSHED BRASS       |     28 |          192
 Brand#42   | LARGE POLISHED COPPER     |     28 |          192
 Brand#42   | SMALL PLATED NICKEL       |     43 |          192
 Brand#42   | STANDARD BURNISHED NICKEL |     43 |          192
 Brand#43   | ECONOMY PLATED BRASS      |     38 |          192
 Brand#43   | LARGE BRUSHED BRASS       |     28 |          192
 Brand#43   | LARGE BRUSHED STEEL       |     12 |          192
 Brand#43   | LARGE PLATED COPPER       |     12 |          192
 Brand#43   | PROMO BURNISHED BRASS     |      8 |          192
 Brand#43   | PROMO BURNISHED COPPER    |      8 |          192
 Brand#44   | ECONOMY BRUSHED NICKEL    |     12 |          192
 Brand#44   | ECONOMY POLISHED BRASS    |     41 |          192
 Brand#44   | LARGE ANODIZED TIN        |     41 |          192
 Brand#45   | ECONOMY BURNISHED STEEL   |     28 |          192
 Brand#45   | ECONOMY POLISHED BRASS    |      8 |          192
 Brand#45   | LARGE BRUSHED STEEL       |     28 |          192
 Brand#45   | LARGE PLATED BRASS        |     43 |          192
 Brand#45   | MEDIUM BURNISHED TIN      |     38 |          192
 Brand#51   | ECONOMY ANODIZED NICKEL   |     38 |          192
 Brand#51   | ECONOMY POLISHED COPPER   |     43 |          192
 Brand#51   | ECONOMY POLISHED STEEL    |     43 |          192
 Brand#51   | LARGE ANODIZED BRASS      |     28 |          192
 Brand#51   | LARGE ANODIZED STEEL      |      8 |          192
 Brand#51   | MEDIUM ANODIZED COPPER    |     12 |          192
 Brand#51   | PROMO ANODIZED TIN        |      8 |          192
 Brand#51   | PROMO BRUSHED BRASS       |     41 |          192
 Brand#51   | PROMO PLATED COPPER       |     30 |          192
 Brand#51   | SMALL BRUSHED STEEL       |     45 |          192
 Brand#52   | PROMO ANODIZED COPPER     |     45 |          192
 Brand#52   | SMALL BRUSHED BRASS       |     30 |          192
 Brand#52   | SMALL BURNISHED STEEL     |     30 |          192
 Brand#53   | LARGE PLATED NICKEL       |     12 |          192
 Brand#53   | SMALL BRUSHED COPPER      |     12 |          192
 Brand#53   | STANDARD BRUSHED COPPER   |     45 |          192
 Brand#54   | ECONOMY PLATED COPPER     |     43 |          192
 Brand#54   | LARGE PLATED STEEL        |     45 |          192
 Brand#54   | PROMO BRUSHED NICKEL      |      8 |          192
 Brand#54   | PROMO BURNISHED TIN       |     12 |          192
 Brand#54   | PROMO POLISHED COPPER     |     30 |          192
 Brand#54   | SMALL BURNISHED TIN       |     12 |          192
 Brand#54   | STANDARD BRUSHED TIN      |     12 |          192
 Brand#55   | ECONOMY BRUSHED COPPER    |     28 |          192
 Brand#55   | ECONOMY BURNISHED STEEL   |     43 |          192
 Brand#55   | MEDIUM ANODIZED NICKEL    |     30 |          192
 Brand#55   | MEDIUM BRUSHED STEEL      |     41 |          192
 Brand#55   | STANDARD ANODIZED BRASS   |     30 |          192
 Brand#11   | SMALL ANODIZED STEEL      |     12 |          191
 Brand#13   | LARGE POLISHED NICKEL     |     43 |          191
 Brand#13   | SMALL BURNISHED TIN       |     28 |          191
 Brand#22   | STANDARD BURNISHED BRASS  |     12 |          191
 Brand#24   | MEDIUM PLATED TIN         |     38 |          191
 Brand#31   | SMALL POLISHED NICKEL     |     41 |          191
 Brand#34   | ECONOMY BRUSHED COPPER    |     43 |          191
 Brand#35   | MEDIUM POLISHED COPPER    |     41 |          191
 Brand#35   | STANDARD BURNISHED NICKEL |     41 |          191
 Brand#42   | MEDIUM BRUSHED NICKEL     |     12 |          191
 Brand#43   | LARGE POLISHED TIN        |     45 |          191
 Brand#43   | MEDIUM POLISHED COPPER    |     28 |          191
 Brand#44   | ECONOMY BURNISHED BRASS   |      8 |          191
 Brand#44   | ECONOMY BURNISHED NICKEL  |      8 |          191
 Brand#51   | MEDIUM BURNISHED TIN      |     38 |          191
 Brand#51   | PROMO BURNISHED NICKEL    |     12 |          191
 Brand#54   | STANDARD ANODIZED BRASS   |     38 |          191
 Brand#32   | SMALL ANODIZED STEEL      |     38 |          190
 Brand#22   | MEDIUM ANODIZED BRASS     |     45 |          189
 Brand#11   | ECONOMY PLATED TIN        |     41 |          188
 Brand#11   | LARGE ANODIZED NICKEL     |     41 |          188
 Brand#11   | LARGE BRUSHED NICKEL      |     28 |          188
 Brand#11   | MEDIUM BRUSHED NICKEL     |     38 |          188
 Brand#11   | SMALL ANODIZED STEEL      |     41 |          188
 Brand#13   | ECONOMY POLISHED TIN      |     30 |          188
 Brand#13   | LARGE BURNISHED COPPER    |      8 |          188
 Brand#13   | MEDIUM BRUSHED COPPER     |     41 |          188
 Brand#13   | MEDIUM BURNISHED STEEL    |     38 |          188
 Brand#13   | PROMO BURNISHED TIN       |     45 |          188
 Brand#13   | STANDARD BURNISHED TIN    |     28 |          188
 Brand#14   | LARGE PLATED COPPER       |     43 |          188
 Brand#14   | MEDIUM BURNISHED STEEL    |     43 |          188
 Brand#14   | PROMO BRUSHED TIN         |     30 |          188
 Brand#14   | PROMO BURNISHED TIN       |     30 |          188
 Brand#15   | ECONOMY ANODIZED COPPER   |     41 |          188
 Brand#15   | LARGE PLATED BRASS        |     41 |          188
 Brand#15   | MEDIUM POLISHED STEEL     |     38 |          188
 Brand#21   | LARGE BURNISHED BRASS     |     12 |          188
 Brand#21   | PROMO BRUSHED NICKEL      |     28 |          188
 Brand#21   | SMALL ANODIZED NICKEL     |     28 |          188
 Brand#21   | SMALL ANODIZED NICKEL     |     41 |          188
 Brand#21   | SMALL BURNISHED STEEL     |     30 |          188
 Brand#21   | SMALL PLATED TIN          |      8 |          188
 Brand#22   | ECONOMY ANODIZED TIN      |      8 |          188
 Brand#22   | ECONOMY POLISHED BRASS    |      8 |          188
 Brand#22   | LARGE ANODIZED STEEL      |     28 |          188
 Brand#22   | LARGE BRUSHED TIN         |     12 |          188
 Brand#22   | LARGE BRUSHED TIN         |     43 |          188
 Brand#22   | MEDIUM ANODIZED BRASS     |     28 |          188
 Brand#22   | PROMO ANODIZED BRASS      |     38 |          188
 Brand#22   | SMALL BURNISHED STEEL     |     45 |          188
 Brand#22   | STANDARD BRUSHED BRASS    |     45 |          188
 Brand#23   | ECONOMY BURNISHED COPPER  |      8 |          188
 Brand#23   | LARGE BURNISHED STEEL     |     30 |          188
 Brand#23   | MEDIUM BRUSHED BRASS      |     30 |          188
 Brand#23   | PROMO PLATED TIN          |     45 |          188
 Brand#23   | STANDARD PLATED STEEL     |     30 |          188
 Brand#24   | ECONOMY POLISHED STEEL    |     30 |          188
 Brand#24   | LARGE ANODIZED COPPER     |     43 |          188
 Brand#24   | LARGE BRUSHED STEEL       |     41 |          188
 Brand#24   | LARGE PLATED NICKEL       |      8 |          188
 Brand#24   | MEDIUM BURNISHED NICKEL   |     12 |          188
 Brand#24   | MEDIUM PLATED BRASS       |     41 |          188
 Brand#24   | MEDIUM PLATED STEEL       |     45 |          188
 Brand#24   | PROMO BURNISHED STEEL     |     28 |          188
 Brand#24   | PROMO POLISHED BRASS      |     12 |          188
 Brand#24   | PROMO POLISHED TIN        |     28 |          188
 Brand#24   | SMALL BRUSHED COPPER      |     30 |          188
 Brand#24   | SMALL BURNISHED NICKEL    |     12 |          188
 Brand#24   | STANDARD ANODIZED BRASS   |     41 |          188
 Brand#24   | STANDARD BRUSHED NICKEL   |     45 |          188
 Brand#25   | ECONOMY ANODIZED STEEL    |      8 |          188
 Brand#25   | LARGE ANODIZED BRASS      |     45 |          188
 Brand#25   | LARGE PLATED BRASS        |     30 |          188
 Brand#25   | LARGE POLISHED NICKEL     |     45 |          188
 Brand#25   | MEDIUM BURNISHED BRASS    |     30 |          188
 Brand#25   | PROMO BURNISHED NICKEL    |     30 |          188
 Brand#25   | SMALL POLISHED STEEL      |     28 |          188
 Brand#25   | STANDARD BURNISHED TIN    |     38 |          188
 Brand#25   | STANDARD PLATED COPPER    |     41 |          188
 Brand#31   | ECONOMY ANODIZED STEEL    |      8 |          188
 Brand#31   | LARGE PLATED BRASS        |      8 |          188
