 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
   9445.20 | Supplier#000007491        | SAUDI ARABIA              |     74983 | Manufacturer#2            |  rgpN2KQE6A0gul0q4ZVpD5S                 | 30-642-433-1399 | packages wake blithely against the carefully da
   9403.33 | Supplier#000009984        | JORDAN                    |    104963 | Manufacturer#1            | rLkAcZoRIttWlBOXvI8qA                    | 23-878-425-8047 | ffily unusual packages cajole against the fluffily final deposits. express, unusual packages ab
   9324.00 | Supplier#000002707        | SAUDI ARABIA              |    195149 | Manufacturer#1            | xMXO5KpIsdXt,mJ5                         | 30-127-723-4248 | tect. carefully regular deposit
   9318.47 | Supplier#000003834        | SAUDI ARABIA              |    178799 | Manufacturer#4            | cxGQnW3nShks59xA5bPoaC bIvcBWUt          | 30-823-353-6520 | regular instructions. express packages run slyly pending
   9315.33 | Supplier#000003009        | IRAN                      |    197970 | Manufacturer#2            | oTbwfQ,Yfdcf3ysgc60NKtTpSIc              | 20-306-556-2450 | the carefully special requests. express instructions wake 
   9311.64 | Supplier#000006742        | IRAQ                      |     99214 | Manufacturer#1            | Z5JdKmVw3X                               | 21-591-253-3872 | slyly pending accounts could haggle against the regular pinto beans. express
   9261.13 | Supplier#000000664        | EGYPT                     |     68157 | Manufacturer#1            | ln6wISAnC8Bpj q4V                        | 14-244-772-4913 | ly special foxes cajole slyly ironic reque
   9224.05 | Supplier#000009164        | SAUDI ARABIA              |    116652 | Manufacturer#3            | rYR92AZU,F                               | 30-533-868-3983 | cing theodolites. quietly pending 
   9182.83 | Supplier#000001445        | IRAN                      |    188926 | Manufacturer#1            | DhcB aCCxE,4rEWuOU5WWYTebpx9             | 20-769-712-3738 | tes across the regular pinto beans sleep according to
... (truncated, full output was      480 lines) ...
