scale_factor,query,run,seconds,status
2,8,3,0.158,ok
2,9,3,1.042,ok
2,10,3,0.272,ok
2,11,3,0.102,ok
2,12,3,0.316,ok
2,13,3,1.141,ok
2,14,3,0.104,ok
2,15,3,0.554,ok
2,16,3,0.178,ok
2,17,3,0.840,ok
2,18,3,4.198,ok
2,19,3,0.057,ok
2,20,3,0.690,ok
2,21,3,0.720,ok
2,22,3,0.066,ok
4,1,0,2.621,ok
4,2,0,0.602,ok
4,3,0,1.152,ok
4,4,0,0.274,ok
4,5,0,0.576,ok
4,6,0,0.715,ok
4,7,0,3.038,ok
4,8,0,0.362,ok
4,9,0,2.113,ok
4,10,0,0.626,ok
4,11,0,0.423,ok
4,12,0,0.679,ok
4,13,0,3.848,ok
4,14,0,0.270,ok
4,15,0,1.596,ok
4,16,0,0.344,ok
4,17,0,2.136,ok
4,18,0,10.745,ok
4,19,0,0.092,ok
4,20,0,1.919,ok
4,21,0,2.155,ok
4,22,0,0.122,ok
4,1,1,2.696,ok
4,2,1,0.899,ok
4,3,1,1.115,ok
4,4,1,0.291,ok
4,5,1,0.635,ok
4,6,1,0.668,ok
4,7,1,3.028,ok
4,8,1,0.401,ok
4,9,1,2.271,ok
4,10,1,0.665,ok
4,11,1,0.423,ok
4,12,1,0.770,ok
4,13,1,3.756,ok
4,14,1,0.259,ok
4,15,1,1.532,ok
4,16,1,0.395,ok
4,17,1,2.147,ok
4,18,1,10.925,ok
4,19,1,0.088,ok
4,20,1,1.507,ok
4,21,1,1.893,ok
4,22,1,0.113,ok
4,1,2,2.650,ok
4,2,2,0.744,ok
4,3,2,1.036,ok
4,4,2,0.269,ok
4,5,2,0.574,ok
4,6,2,0.606,ok
4,7,2,3.103,ok
4,8,2,0.394,ok
4,9,2,2.259,ok
4,10,2,0.664,ok
4,11,2,0.435,ok
4,12,2,0.787,ok
4,13,2,4.064,ok
4,14,2,0.310,ok
4,15,2,1.739,ok
4,16,2,0.387,ok
4,17,2,2.258,ok
4,18,2,11.779,ok
4,19,2,0.103,ok
4,20,2,1.640,ok
4,21,2,2.217,ok
4,22,2,0.128,ok
4,1,3,2.790,ok
4,2,3,0.881,ok
4,3,3,1.247,ok
4,4,3,0.326,ok
4,5,3,0.686,ok
4,6,3,0.772,ok
4,7,3,3.230,ok
4,8,3,0.399,ok
4,9,3,2.246,ok
4,10,3,0.658,ok
4,11,3,0.417,ok
4,12,3,0.755,ok
4,13,3,3.409,ok
4,14,3,0.257,ok
4,15,3,1.385,ok
4,16,3,0.336,ok
4,17,3,1.986,ok
4,18,3,11.644,ok
4,19,3,0.089,ok
4,20,3,1.508,ok
4,21,3,1.910,ok
4,22,3,0.118,ok
8,1,0,5.181,ok
8,2,0,2.315,ok
8,3,0,2.135,ok
8,4,0,0.569,ok
8,5,0,0.990,ok
8,6,0,1.384,ok
8,7,0,4.063,ok
8,8,0,1.058,ok
8,9,0,5.342,ok
8,10,0,1.138,ok
8,11,0,0.743,ok
8,12,0,1.360,ok
8,13,0,7.115,ok
8,14,0,0.574,ok
8,15,0,4.975,ok
8,16,0,0.648,ok
8,17,0,4.072,ok
8,18,0,13.063,ok
8,19,0,0.145,ok
8,20,0,6.897,ok
8,21,0,2.574,ok
8,22,0,0.210,ok
8,1,1,5.650,ok
8,2,1,1.862,ok
8,3,1,2.413,ok
8,4,1,0.688,ok
8,5,1,1.159,ok
8,6,1,1.657,ok
8,7,1,4.621,ok
8,8,1,0.811,ok
8,9,1,5.931,ok
8,10,1,1.275,ok
8,11,1,0.764,ok
8,12,1,1.544,ok
8,13,1,8.180,ok
8,14,1,0.662,ok
8,15,1,5.037,ok
8,16,1,0.631,ok
8,17,1,3.831,ok
8,18,1,13.233,ok
8,19,1,0.140,ok
8,20,1,6.736,ok
8,21,1,2.467,ok
8,22,1,0.187,ok
8,1,2,5.286,ok
8,2,2,1.692,ok
8,3,2,2.005,ok
8,4,2,0.571,ok
8,5,2,0.989,ok
8,6,2,1.387,ok
8,7,2,3.999,ok
8,8,2,0.658,ok
8,9,2,5.842,ok
8,10,2,1.454,ok
8,11,2,0.719,ok
8,12,2,1.365,ok
8,13,2,7.455,ok
8,14,2,0.547,ok
8,15,2,4.308,ok
8,16,2,0.626,ok
8,17,2,3.656,ok
8,18,2,12.224,ok
8,19,2,0.135,ok
8,20,2,6.213,ok
8,21,2,2.319,ok
8,22,2,0.184,ok
8,1,3,5.252,ok
8,2,3,1.598,ok
8,3,3,1.941,ok
8,4,3,0.556,ok
8,5,3,0.955,ok
8,6,3,1.316,ok
8,7,3,3.829,ok
8,8,3,0.644,ok
8,9,3,5.014,ok
8,10,3,1.041,ok
8,11,3,0.670,ok
8,12,3,1.289,ok
8,13,3,6.333,ok
8,14,3,0.530,ok
8,15,3,4.276,ok
8,16,3,0.625,ok
8,17,3,3.655,ok
8,18,3,12.153,ok
8,19,3,0.134,ok
8,20,3,6.179,ok
8,21,3,2.323,ok
8,22,3,0.188,ok
16,1,0,10.329,ok
16,2,0,3.029,ok
16,3,0,2.541,ok
16,4,0,1.331,ok
16,5,0,1.709,ok
16,6,0,2.759,ok
16,7,0,6.286,ok
16,8,0,1.912,ok
16,9,0,9.267,ok
16,10,0,2.348,ok
16,11,0,1.266,ok
16,12,0,2.503,ok
16,13,0,13.603,ok
16,14,0,1.092,ok
16,15,0,8.320,ok
16,16,0,1.284,ok
16,17,0,7.569,ok
16,18,0,25.324,ok
16,19,0,0.276,ok
16,20,0,13.434,ok
16,21,0,5.237,ok
16,22,0,0.359,ok
16,1,1,10.421,ok
16,2,1,3.101,ok
16,3,1,2.561,ok
16,4,1,1.306,ok
16,5,1,1.695,ok
16,6,1,2.754,ok
16,7,1,6.300,ok
16,8,1,1.914,ok
16,9,1,9.288,ok
16,10,1,2.340,ok
16,11,1,1.252,ok
16,12,1,2.482,ok
16,13,1,13.550,ok
16,14,1,1.092,ok
16,15,1,8.334,ok
16,16,1,1.280,ok
16,17,1,7.598,ok
16,18,1,25.249,ok
16,19,1,0.273,ok
16,20,1,13.323,ok
16,21,1,5.226,ok
16,22,1,0.363,ok
16,1,2,10.413,ok
16,2,2,3.091,ok
16,3,2,2.564,ok
16,4,2,1.300,ok
16,5,2,1.693,ok
16,6,2,2.758,ok
16,7,2,6.312,ok
16,8,2,1.916,ok
16,9,2,9.270,ok
16,10,2,2.329,ok
16,11,2,1.246,ok
16,12,2,2.489,ok
16,13,2,13.562,ok
16,14,2,1.095,ok
16,15,2,8.298,ok
16,16,2,1.287,ok
16,17,2,7.590,ok
16,18,2,26.591,ok
16,19,2,0.276,ok
16,20,2,13.366,ok
16,21,2,5.262,ok
16,22,2,0.360,ok
16,1,3,10.422,ok
16,2,3,3.107,ok
16,3,3,2.549,ok
16,4,3,1.304,ok
16,5,3,1.700,ok
16,6,3,2.757,ok
16,7,3,6.286,ok
16,8,3,1.916,ok
16,9,3,9.279,ok
16,10,3,2.340,ok
16,11,3,1.251,ok
16,12,3,2.480,ok
16,13,3,13.547,ok
16,14,3,1.086,ok
16,15,3,8.295,ok
16,16,3,1.288,ok
16,17,3,7.541,ok
16,18,3,26.462,ok
16,19,3,0.275,ok
16,20,3,13.229,ok
16,21,3,5.258,ok
16,22,3,0.368,ok
32,1,0,20.712,ok
32,2,0,7.497,ok
32,3,0,5.697,ok
32,4,0,2.803,ok
32,5,0,6.541,ok
32,6,0,2.880,ok
32,7,0,17.723,ok
32,8,0,3.056,ok
32,9,0,30.087,ok
32,10,0,7.525,ok
32,11,0,2.571,ok
32,12,0,5.169,ok
32,13,0,62.226,ok
32,14,0,2.512,ok
32,15,0,8.797,ok
32,16,0,8.533,ok
32,17,0,15.634,ok
32,18,0,56.640,ok
32,19,0,0.589,ok
32,20,0,28.846,ok
32,21,0,17.929,ok
32,22,0,0.744,ok
32,1,1,20.825,ok
32,2,1,6.969,ok
32,3,1,5.730,ok
32,4,1,2.531,ok
32,5,1,6.504,ok
32,6,1,2.876,ok
32,7,1,15.868,ok
32,8,1,2.577,ok
32,9,1,29.871,ok
32,10,1,7.551,ok
32,11,1,3.688,ok
32,12,1,5.317,ok
32,13,1,61.894,ok
32,14,1,2.245,ok
32,15,1,8.813,ok
32,16,1,8.517,ok
32,17,1,16.120,ok
32,18,1,56.925,ok
32,19,1,2.211,ok
32,20,1,75.699,ok
32,21,1,10.825,ok
32,22,1,0.718,ok
32,1,2,20.852,ok
32,2,2,6.981,ok
32,3,2,5.506,ok
32,4,2,2.538,ok
32,5,2,6.521,ok
32,6,2,2.904,ok
32,7,2,15.852,ok
32,8,2,2.634,ok
32,9,2,29.840,ok
32,10,2,7.276,ok
32,11,2,2.518,ok
32,12,2,5.783,ok
32,13,2,62.530,ok
32,14,2,2.243,ok
32,15,2,8.749,ok
32,16,2,8.510,ok
32,17,2,15.502,ok
32,18,2,57.209,ok
32,19,2,1.077,ok
32,20,2,41.091,ok
32,21,2,9.932,ok
32,22,2,0.723,ok
32,1,3,20.851,ok
32,2,3,7.055,ok
32,3,3,5.911,ok
32,4,3,2.566,ok
32,5,3,6.551,ok
32,6,3,2.897,ok
32,7,3,16.104,ok
32,8,3,2.598,ok
32,9,3,29.865,ok
32,10,3,7.251,ok
32,11,3,2.832,ok
32,12,3,5.668,ok
32,13,3,62.036,ok
32,14,3,2.240,ok
32,15,3,8.746,ok
32,16,3,8.488,ok
32,17,3,15.665,ok
32,18,3,62.189,ok
32,19,3,0.611,ok
32,20,3,42.279,ok
32,21,3,15.117,ok
32,22,3,0.713,ok
